ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"01400941",Londoner Straße,3786,"01",3.3,2,4,29.6,2,3,7.38,2,3,80.41,3,5,44.4,2,3,24.56,2,4,1.14,2,4,66.56,2,3,28.15,2,3,,,,,,,,,100,6,66.98,2,3,19.8,2,1.41,2,4,-2.63,2,3,gültig
202012,"01400942",Westliche Müllerstraße,8643,"01",4.01,2,5,30.1,2,4,16.37,4,5,77.08,3,4,53.72,3,4,36.63,4,5,-0.7,2,3,63.55,2,3,29.8,2,3,,,,,,,,,100,6,56.66,1,2,36.88,4,-0.39,2,3,-3.4,2,3,gültig
202012,"01401043",Antonstraße,7739,"01",6.91,4,5,27.74,2,3,18.55,4,5,87.97,4,5,66.89,4,5,40.03,4,5,-1.91,1,3,68.66,2,3,42.2,3,5,,,,,,,,,98.85,5,64.58,2,3,26.02,3,-0.7,2,3,-5.62,2,2,gültig
202012,"01401044",Uferstraße,10224,"01",7.71,4,5,28.59,2,3,18.63,4,5,87.79,4,5,67.42,4,5,43.61,4,5,-1.18,1,3,64.07,2,3,38.76,3,4,,,,,,,,,100,6,61.36,2,3,27.23,3,-2.43,2,3,-1.65,2,3,gültig
202012,"01401045",Schwedenstraße,5722,"01",7.94,4,5,28.47,2,3,18.54,4,5,91.01,4,5,72.95,4,5,45.79,4,5,-0.76,2,3,67.98,2,3,40.09,3,5,,,,,,,,,100,6,63.5,2,3,31,4,-1.62,2,3,-4.91,2,2,gültig
202012,"01401046",Nordufer,8781,"01",4.29,2,5,28.89,2,3,19.07,4,5,70.92,2,4,49.28,2,4,31.39,3,5,-1.61,1,3,62.59,2,3,24.11,2,3,,,,,,,,,99.69,5,55.58,1,2,33.55,4,-2.6,2,3,-9.14,2,1,gültig
202012,"01401047",Sparrplatz,7867,"01",6.22,3,5,26.75,2,3,18.98,4,5,83.03,4,5,69.52,4,5,50.82,4,5,-0.1,2,3,70.81,2,4,25.16,2,3,,,,,,,,,100,6,56.51,1,2,37.3,4,-1.35,2,3,-8.2,2,1,gültig
202012,"01401048",Leopoldplatz,9098,"01",5.57,2,5,26.64,2,3,22.32,4,5,77.3,3,4,58.97,4,4,37.28,4,5,-0.78,2,3,64.86,2,3,32.54,2,4,,,,,,,,,100,6,62.29,2,3,30.92,4,-1.15,2,3,-3.74,2,3,gültig
202012,"01401049",Schulstraße,6689,"01",8.06,4,5,33.03,2,4,22.32,4,5,84.51,4,5,61.2,4,5,42.07,4,5,-0.48,2,3,61.55,2,3,43.43,4,5,,,,,,,,,100,6,60.04,2,3,25.6,3,-2.64,2,3,-9.47,2,1,gültig
202012,"02100101",Askanischer Platz,6281,"02",7.17,4,5,23.04,2,3,24.69,4,5,88.92,4,5,69.51,4,5,40.44,4,5,-4.42,1,2,71.42,2,4,25.85,2,3,,,,,,,,,95.59,5,57.21,2,2,49.03,5,-4.59,1,2,-11.75,1,1,gültig
202012,"02100102",Mehringplatz,8647,"02",8.56,4,5,25.31,2,3,25.96,4,5,91.87,4,5,71.1,4,5,34.91,3,5,-0.26,2,3,75.22,3,4,34.82,2,4,,,,,,,,,100,6,65.45,2,3,27.64,3,0.91,2,4,0.78,2,4,gültig
202012,"02100103",Am Berlin Museum,5382,"02",5.61,3,5,26.1,2,3,25.93,4,5,85.05,4,5,63.36,4,5,32.33,3,5,1.48,2,4,76.9,3,4,35.28,2,4,,,,,,,,,100,6,66.76,2,3,24.04,3,1.23,2,4,-1.43,2,3,gültig
