ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,SI_N,SI_V,DI_N,DI_V,SDI,SDI_N,SDI_V,KOM
202012,"02500831",Wismarplatz,7877,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500832",Traveplatz,9064,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500833",Boxhagener Platz,10190,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500834",Revaler Straße,11378,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500835",Stralauer Kiez,7868,"02",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"02500836",Stralauer Halbinsel,4709,"02",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03100101",Bucher Forst,4499,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03100102",Klinikum Buch,3214,"03",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"03100103",Karower Chaussee,8979,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03200204",Blankenfelde,2058,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03200205",Uhlandstraße,8696,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"03200206",Pastor-Niemöller-Platz,6404,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03200207",Herthaplatz,11464,"03",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"03200308",Nisbléstraße,5220,"03",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
