ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,S1,S1_SD_GR,S1_AG_GR,S2,S2_SD_GR,S2_AG_GR,S3,S3_SD_GR,S3_AG_GR,S4,S4_SD_GR,S4_AG_GR,D1,D1_SD_GR,D1_AG_GR,D2,D2_SD_GR,D2_AG_GR,D3,D3_SD_GR,D3_AG_GR,D4,D4_SD_GR,D4_AG_GR,KOM
202012,"02500834",Revaler Straße,11378,"02",2.9418,2,2,,,,5.73036,2,2,9.31877,2,1,0.65025,2,4,,,,-0.01472,2,3,-0.49156,2,3,gültig
202012,"02500835",Stralauer Kiez,7868,"02",4.21724,2,3,,,,8.07067,2,2,18.91026,2,2,1.13686,2,5,,,,-0.27363,2,3,0.10395,2,4,gültig
202012,"02500836",Stralauer Halbinsel,4709,"02",1.43775,1,1,,,,3.48269,1,1,3.89064,1,1,0.2091,2,4,,,,0.90068,3,4,1.08286,2,4,gültig
202012,"03100101",Bucher Forst,4499,"03",7.94118,3,4,,,,8.64637,2,2,12.37374,2,2,2.7287,3,6,,,,-0.61246,2,3,-1.55384,2,3,gültig
202012,"03100102",Klinikum Buch,3214,"03",6.32591,2,4,,,,10.67206,2,3,25,2,3,1.97808,2,5,,,,0.03451,2,4,3.99408,3,5,gültig
202012,"03100103",Karower Chaussee,8979,"03",7.80798,2,4,,,,14.31117,2,3,32.92765,2,4,1.63972,2,5,,,,-2.16324,2,1,-3.16068,2,2,gültig
202012,"03200204",Blankenfelde,2058,"03",1.8254,1,1,,,,2.6725,1,1,4.24028,1,1,0.47309,2,4,,,,-1.09118,2,2,-1.33075,2,3,gültig
202012,"03200205",Uhlandstraße,8696,"03",1.81135,1,1,,,,4.33533,2,1,6.03053,1,1,0.43856,2,4,,,,0.15828,2,4,-0.02311,2,3,gültig
202012,"03200206",Pastor-Niemöller-Platz,6404,"03",2.43902,2,2,,,,5.24672,2,2,7.03196,1,1,0.01284,1,4,,,,0.32317,2,4,-0.5619,2,3,gültig
202012,"03200207",Herthaplatz,11464,"03",3.08054,2,2,,,,5.90544,2,2,11.34605,2,2,0.73648,2,4,,,,-0.39679,2,3,0.23494,2,4,gültig
202012,"03200308",Nisbléstraße,5220,"03",1.7452,1,1,,,,3.54406,1,1,4.81651,1,1,0.55886,2,4,,,,-0.85858,2,3,-1.74855,2,3,gültig
202012,"03200309",Eddastraße,5238,"03",2.41796,2,2,,,,4.77281,2,1,8.47851,2,1,0.55955,2,4,,,,-1.15136,2,2,-3.30094,2,2,gültig
202012,"03200310",Krugpfuhl,7961,"03",2.07382,2,2,,,,5.3134,2,2,10.17831,2,2,0.60683,2,4,,,,-0.76033,2,3,-1.17073,2,3,gültig
202012,"03300411",Karow Nord,11455,"03",3.93213,2,2,,,,10.95591,2,3,23.19426,2,3,1.22688,2,5,,,,0.74626,3,4,2.09761,2,5,gültig
202012,"03300412",Karow Bahnhof,5138,"03",1.19889,1,1,,,,1.88789,1,1,2.13415,1,1,0.40862,2,4,,,,-0.41662,2,3,-0.68509,2,3,gültig
202012,"03300413",Karow Ost,3101,"03",0.71283,1,1,,,,1.93486,1,1,2.6971,1,1,-0.07187,1,3,,,,-0.32054,2,3,-0.38298,2,3,gültig
202012,"03300514",Blankenburg,6875,"03",1.11137,1,1,,,,2.48727,1,1,4.05539,1,1,0.18502,2,4,,,,0.96435,3,4,2.09258,2,5,gültig
202012,"03300515",Blankenburger Süden,38,"03",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"03300516",Heinersdorf,7779,"03",3.1583,2,2,,,,5.60483,2,2,12.59982,2,2,1.29169,2,5,,,,0.94669,3,4,4.85728,3,6,gültig
202012,"03300517",Märchenland,1120,"03",0.91743,1,1,,,,1.33929,1,1,4.16667,1,1,0.02057,1,4,,,,-0.95956,2,3,-2.23333,2,2,gültig
202012,"03400618",Rosenthal,4742,"03",1.8238,1,1,,,,3.26866,1,1,4.69974,1,1,0.48537,2,4,,,,-0.26229,2,3,-1.23018,2,3,gültig
202012,"03400619",Wilhelmsruh,10438,"03",2.5815,2,2,,,,4.55068,2,1,10.13185,2,2,0.5522,2,4,,,,0.24256,2,4,0.7453,2,4,gültig
202012,"03400620",Schönholz,3509,"03",1.90265,1,1,,,,4.10373,2,1,2.58303,1,1,0.32785,2,4,,,,1.12399,3,5,-0.77518,2,3,gültig
