ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,KI_01,KI_01_SD_GR,KI_01_AG_GR,KI_02,KI_02_SD_GR,KI_02_AG_GR,KI_03,KI_03_SD_GR,KI_03_AG_GR,KI_04,KI_04_SD_GR,KI_04_AG_GR,KI_05,KI_05_SD_GR,KI_05_AG_GR,KI_16,KI_16_SD_GR,KI_16_AG_GR,KI_06,KI_06_SD_GR,KI_06_AG_GR,KI_17,KI_17_SD_GR,KI_17_AG_GR,KI_07,KI_07_SD_GR,KI_07_AG_GR,KI_08,KI_08_AG_GR,KI_14,KI_14_SD_GR,KI_14_AG_GR,KI_15,KI_15_SD_GR,KI_15_AG_GR,KI_09,KI_09_AG_GR,KI_10,KI_10_SD_GR,KI_10_AG_GR,KI_11,KI_11_AG_GR,KI_12,KI_12_SD_GR,KI_12_AG_GR,KI_13,KI_13_SD_GR,KI_13_AG_GR,KOM
202012,"03010102",Buch,12165,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,51.88,5,1.84,2,3,32.24,2,1,,,,,,,,,,,,,,gültig
202012,"03010104",Lietzengraben,222,"03",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"03020203",Blankenfelde,2058,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2,2.1,3,4,46.57,3,4,,,,,,,,,,,,,,gültig
202012,"03020209",Niederschönhausen,15100,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,2,1.76,2,3,40.74,2,3,,,,,,,,,,,,,,gültig
202012,"03020210",Herthaplatz,11464,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,2,1.84,2,3,40.66,2,3,,,,,,,,,,,,,,gültig
202012,"03020307",Buchholz,18419,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,2,1.77,2,3,40.07,2,3,,,,,,,,,,,,,,gültig
202012,"03030405",Karow Nord,11455,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51,2,1.92,2,3,35.19,2,2,,,,,,,,,,,,,,gültig
202012,"03030406",Alt-Karow,8239,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,2.1,3,4,47.32,3,4,,,,,,,,,,,,,,gültig
202012,"03030711",Blankenburg,6913,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1,2.1,3,4,46.44,2,4,,,,,,,,,,,,,,gültig
202012,"03030715",Heinersdorf,7779,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,2,1.98,2,3,42.85,2,3,,,,,,,,,,,,,,gültig
202012,"03030716",Märchenland,1120,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.23,4,4,45.86,2,4,,,,,,,,,,,,,,gültig
202012,"03040508",Rosenthal,4742,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,2,1.91,2,3,43.12,2,3,,,,,,,,,,,,,,gültig
202012,"03040512",Wilhelmsruh,10438,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,2,1.99,2,3,41.06,2,3,,,,,,,,,,,,,,gültig
202012,"03040513",Schönholz,3509,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1,1.88,2,3,42.71,2,3,,,,,,,,,,,,,,gültig
202012,"03040614",Pankow Zentrum,37240,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,26.73,3,1.83,2,3,39.05,2,2,,,,,,,,,,,,,,gültig
202012,"03040818",Pankow Süd,35738,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71,3,1.94,2,3,38,2,2,,,,,,,,,,,,,,gültig
202012,"03050919",Gustav-Adolf-Straße,5096,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81,5,2.08,3,4,37.04,2,2,,,,,,,,,,,,,,gültig
202012,"03050920",Weißer See,7551,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,3,1.83,2,3,38.05,2,2,,,,,,,,,,,,,,gültig
202012,"03050923",Weißenseer Spitze,10049,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43,2,1.74,2,2,37.75,2,2,,,,,,,,,,,,,,gültig
202012,"03050924",Behaimstraße,6407,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,3,1.81,2,3,38.96,2,2,,,,,,,,,,,,,,gültig
202012,"03050925",Komponistenviertel Weißensee,9819,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27,3,1.79,2,3,37.29,2,2,,,,,,,,,,,,,,gültig
202012,"03051017",Rennbahnstraße,4212,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.53,2,1.78,2,3,38.3,2,2,,,,,,,,,,,,,,gültig
202012,"03051021",Buschallee,6981,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,29.74,3,2.02,2,4,35.62,2,2,,,,,,,,,,,,,,gültig
202012,"03051022",Hansastraße,4640,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,25.39,3,1.97,2,3,35.68,2,2,,,,,,,,,,,,,,gültig
202012,"03061126",Arnimplatz,16255,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,2,1.75,2,3,39.77,2,2,,,,,,,,,,,,,,gültig
202012,"03061131",Falkplatz,10744,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,2,1.74,2,2,39.74,2,2,,,,,,,,,,,,,,gültig
202012,"03061227",Humannplatz,14632,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31,3,1.84,2,3,39.69,2,2,,,,,,,,,,,,,,gültig
202012,"03061228",Erich-Weinert-Straße,12813,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96,3,1.89,2,3,36.79,2,2,,,,,,,,,,,,,,gültig
202012,"03061332",Helmholtzplatz,22534,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,2,1.79,2,3,42.48,2,3,,,,,,,,,,,,,,gültig
202012,"03061429",Greifswalder Straße,9970,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,4,2.07,2,4,35.94,2,2,,,,,,,,,,,,,,gültig
202012,"03061430",Volkspark Prenzlauer Berg,3965,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,40.71,4,1.55,1,2,26.56,1,1,,,,,,,,,,,,,,gültig
202012,"03061434",Anton-Saefkow-Park,6373,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,17.89,3,1.96,2,3,38.63,2,2,,,,,,,,,,,,,,gültig
202012,"03061435",Conrad-Blenkle-Straße,4063,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,34.39,4,1.86,2,3,35.07,2,2,,,,,,,,,,,,,,gültig
202012,"03061441",Eldenaer Straße,2825,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.33,1,1,37.57,2,2,,,,,,,,,,,,,,gültig
202012,"03071536",Teutoburger Platz,11328,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89,2,1.8,2,3,42.13,2,3,,,,,,,,,,,,,,gültig
202012,"03071537",Kollwitzplatz,15930,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92,2,1.87,2,3,44.33,2,3,,,,,,,,,,,,,,gültig
202012,"03071633",Thälmannpark,3188,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,6,1.92,2,3,37.69,2,2,,,,,,,,,,,,,,gültig
202012,"03071638",Winsstraße,17612,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,2,1.75,2,3,40.7,2,3,,,,,,,,,,,,,,gültig
202012,"03071639",Bötzowstraße,12823,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92,3,1.77,2,3,41.69,2,3,,,,,,,,,,,,,,gültig
202012,"04010101",Jungfernheide,10765,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,3,1.8,2,3,31.47,1,1,,,,,,,,,,,,,,gültig
202012,"04010102",Plötzensee,783,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.67,2,2,43.75,2,3,,,,,,,,,,,,,,gültig
202012,"04010103",Paul-Hertz-Siedlung,7855,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,94.13,6,1.67,2,2,31.67,1,1,,,,,,,,,,,,,,gültig
202012,"04020204",Olympiagelände,178,"04",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,ungültig (EW unter 300)
202012,"04020205",Siedlung Ruhleben,1304,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,2.18,3,4,49.27,3,4,,,,,,,,,,,,,,gültig
202012,"04020206",Angerburger Allee,2832,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.3,4,5,49.17,3,4,,,,,,,,,,,,,,gültig
202012,"04020207",Flatowallee,2569,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.15,3,4,50.97,4,5,,,,,,,,,,,,,,gültig
202012,"04020208",Kranzallee,2963,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,2,2.14,3,4,55.06,4,5,,,,,,,,,,,,,,gültig
