PLR_ID,PLR_NAME,kita_count,kita_names
02300314,Oranienplatz,14.0,"['INA.KINDER.Garten', 'Kita der Kath. Kirchengem. St. Michael', 'AWO Kita Wassertropfen', 'EKT Schokokids', 'EKT - Kinderhaus Waldemar Elterninitiative', 'Kita KOTTI Adalbertstraße 87', 'Kita KOTTI', 'Montessori-Kinderhaus Naunynstraße', 'Kita Leuschnerdamm 33', 'Kita KOTTI', 'Kita Till Eulenspiegel-Kette', 'Eltern-Kind-Gruppe Kreuzberg-Nord', 'Eltern-Kinder-Schülergruppe Modell Florian', 'Kita Bethaniendamm']"
02300315,Lausitzer Platz,12.0,"['EKT - Nestwärme', 'Kinder aus Kreuzberg', 'EKT - Affentanz', 'EKT - Langer Rüssel', 'EKT Muskauer Str. 30', 'Kinderladen Muko', 'EKT - Leierkasten', 'EKT - Kinderladen Bande', 'Europa-Kita VAK e.V. Oranienstr. 4', 'EKT Schippe und Eimer', 'EKT Bessere Zukunft für Kinder', 'Kita Piya']"
02300316,Köpenicker Straße,8.0,"['Kita Pücklerstr. 12/Kigä City', 'Ev. Kita St. Thomas', 'Waldorfkindertagesstätte im Forum Kreuzberg', 'Waldorfkindertagesstätte im FORUM Kreuzberg', 'Kita Köpenicker Straße 174', 'Waldorfkindertagesstätte im FORUM Kreuzberg', 'FRÖBEL Kindergarten kaleidoscope', 'Kita Köpenicker Straße 175']"
02300417,Reichenberger Straße West,7.0,"['Kita Reichenberger Str. 40/Kigä City', 'Kita der Ev. Kirchengem. Emmaus-Ölberg', 'EKT - Regenbogenfabrik, Block 109', 'Europa-Kita VAK e.V. Reichenberger Str. 156 A.', 'Kita Kunterbunt 1', 'Kita Kunterbunt 2', 'Kita-kinderbunt']"
02300418,Reichenberger Straße Ost,16.0,"['Kita Reichenberger Str. 92/Kigä City', 'Kita Komsu', 'AWO Kita Kastanie', 'EKT Makke', 'EKT - Wilde 13', 'EKT Hollerbusch', 'EKT Lindenblüte', 'EKT - Tentakel', 'Kita BABB Kreuzberg I', 'EKT - Spreesprotte', 'EKT - Spreesprotte', 'Kita BABB Kreuzberg II', 'Kindertagesstätte Sonnenkäferhaus', 'EKT Jungle', 'EKT Reichenberger Straße', 'Die kleine Welt']"
02300419,Wrangelkiez,14.0,"['Kita Lübbener Str. 6/Kigä City', 'Kita Cuvrystr. 26a/Oppelner Str. 21/Kigä City', 'Kita Schlesische Str. 3-4/Kigä City', 'Ev. Kita Tabor', 'Krümelkinder, Görlitzer Straße', 'EKT - Rübezahl', 'EKT Mauseblitz', 'EKT - Kinder einer Erde', 'EKT - Plutonia', 'EKT - Munkelrübe', 'EKT - Löwenhöhle', 'EKT - Whistcastle of Eternia', 'Kinderladen Cuvrybande', 'Kinderladen IrgendWieAnders']"
02400520,Barnimkiez,4.0,"['Kita der Ev. Kirchengem. Bartholomäus', 'Kita hör-Höchste', 'Kindertagesstätte Das Spielatelier', 'Kita im Friedrichshain']"
02400521,Friedenstraße,7.0,"['Kita Menschenskinder', 'FRÖBEL Kindergarten FRÖBELSPATZEN', 'Kita Palisadenstr. 33/Kigä City', 'KITA Die kleinen Entdecker', 'Kita der Ev. Kirchengem. Auferstehung', 'Kreativitätskindertagesstätte Allesforscher', 'Kinderhafen Krikelkrake']"
02400522,Richard-Sorge-Viertel,6.0,"['FRÖBEL Kindergarten Kleine Füße-Naseweis', 'Kita Richard-Sorge-Str. 43 und 44 Haus Buddelflink und Gänseblümchen', 'Die schlauen Mäuschen', 'Kita IGELBANDE', 'Kindertagesstätte Kleine Insel', 'Kita Zwergenhain']"
02400623,Andreasviertel,5.0,"['Kita Spiel- und Erlebniswelt', 'BOOT-Kita Farbenland', 'Kita Leonardo', 'Kita Blumenkinder', 'Kita Ultimo auf dem Holzmarkt']"
02400624,Weberwiese,12.0,"['Kita Entdeckerland', 'Krippe Playground', 'Kita Fredersdorfer Str. 6/Kigä City', 'Kita Hopsemops', 'Kita Miki', 'Kita Sterntaler', 'Kita der Bildungsgarten', 'Kita der Bildungsraum', 'junior 1, Kita Kopernikushof', 'Kita Marchlewskistraße', 'Kita Playground', 'Junior 1 Kita Grünbergerhof']"
02400625,Wriezener Bahnhof,1.0,['Fröbel Kindergarten Flipflopz']
02500726,Hausburgviertel,6.0,"['EKT - Pipilota', 'EKT - pinepako', 'EKT - Grüne Wolke', 'EKT - Kleine Fische', 'Kita Mühsamstraße 73', 'Spieltraum Hausburg']"
02500727,Forckenbeckplatz,11.0,"['Kita Tausendfüsschen', 'Kita Weidenkätzchen', 'Kita Wichtelbühne', 'Ev. Kita Galiläa', ""Kinderladen Rock'n'Roll Zwerge"", 'Kita Bänschstraße 24', 'Kita Rigaer Straße', 'Musik-Kita Klimperkiste', 'Kindergarten La Sonrisa', 'Kita Das Schneckenhäuschen', 'Inklusionskita Salamander']"
02500728,Samariterviertel,9.0,"['Kinderladen Buana', 'Ev. Kita Samariter', 'KiLa Rumpelbande', 'Musik - Kita KLIMPERKISTE', 'Kinderladen Mumpelmonster', 'Kita El jardin de Federico', 'Kinderladen Fuchsbau', 'Kita Betti Konfetti', 'EKT Klein und Stark']"
02500729,Pettenkofer Straße,2.0,"['Kita Bänschstr. 76/78/Kigä City', 'FRÖBEL Kindergarten Am Ring']"
02500830,Niederbarnimstraße,2.0,"['EKT- Friedrichshainer Mäuse', 'Kita Windspiel']"
02500831,Wismarplatz,10.0,"['Kita Colbestr.9 - 13', 'Kita Kinzigstr. 32/34/Kigä City', 'EKT Integrative Kinderbetreuung NIDO', 'EKT - Kinderbüro', 'Kita Spieltraum', 'Kita Scharnweberstraße', 'Kita Holteistraße', 'Kita Scharnweber Straße 47', 'Kita Salabanda 35', 'Kinzigstr. 18']"
02500832,Traveplatz,8.0,"['EKT - Lieblingsplatz', 'Humanistische Kita Hopsekäse', 'Kita Müggelstraße', 'Ev. Kita Regenbogenfisch', 'Kita Travestraße', 'Kindergarten La Sonrisa', 'Kila Friedrichsklain', 'Fröbel Kindergarten Freudenberg']"
02500833,Boxhagener Platz,4.0,"['EKT Elfenwelt', 'Kindergarten Friedrichshainer Pünktchen', 'Kita Till Eulenspiegel-Kette', 'KiLa PeTiTaTu']"
02500834,Revaler Straße,13.0,"['Kita Gryphiusstr. 34-35', 'EKT - SOL', 'Kita Till Eulenspiegel-Kette', 'Kita Kinderland', 'Ev. Kita Sonnenblume', 'EKT - LUNA', 'Kita Nella Propella', 'Kita der Friedrichshainer Zwerge', 'Montessorikinderhaus Olivo', 'Kinderladen Rabenkinder', 'Kita Rabbit Street', 'Kita Klainohrhaase', 'Gemeinschaftsunterkunft Simon Dach Str. (nur Sprachförderung)']"
02500835,Stralauer Kiez,6.0,"['Kita SpreeKlang', 'Kita Am Rudolfplatz', 'EKT JAMSAPALPIM', 'Kinderladen Klein im Hain', 'Kita Glückskinder', 'Kita Glückskinder Stralauer Allee']"
02500836,Stralauer Halbinsel,3.0,"['FRÖBEL Kindergarten Palmkernzeile', 'Humanistische Kita Bahrfeldtstraße', 'Kinderhafen Spreeräuber']"
03100101,Bucher Forst,7.0,"['Kita Kleine Glückspilze', 'Kindergarten Waldkind', 'Kita Ludwig Hoffmann Quartier', 'Kita Bucher Spatzen', 'Kita Baum und Borke', 'Naturkindergarten Tante Josefine', 'Kita am Wald']"
03100102,Klinikum Buch,1.0,"['FRÖBEL - Kindergarten Sonne, Mond und Sterne']"
03100103,Karower Chaussee,6.0,"['IB-Kita, Internationaler Bund', 'Kita Lindenberger Weg 26/Kigä NordOst', 'Kita Vielfarb-Kita', 'Kita Walter-Friedrich-Str. 20-22/Kigä NordOst', 'Kita CampusSterne', 'Kita Glück Glück']"
03200204,Blankenfelde,3.0,"['""Waldkindergarten Pankow e.V. - Die Waldläufer""', 'Kita Schwalbennest', 'Kita Kleine Strolche']"
03200205,Uhlandstraße,6.0,"['Humanistische Kita Wirbelwind', 'Kleine Abenteurer', 'Kita Kleine Mimmi', 'Kita Zitterbacke', 'EKT Melodiekiste', 'EKT Hauptstadtindianer']"
03200206,Pastor-Niemöller-Platz,15.0,"['EKT - Timpetu', 'EKT - Arbeitsgruppe für Montessori-Pädagogik', 'Kita Gänseblümchen', 'Lara.berlin Kita', 'Kita am Brosepark', 'Kita am Schlosspark', 'Kita St. Maria Magdalena', 'Kita Lotusblüte', 'KitaEins', 'Kita Paul und Paula', 'Kita Villa Lobo', 'Kita Leo Lausemaus', 'Kita Grabbe-Kogge', 'Kita Sonne und Mond', 'kita ""Glückspilze""']"
03200207,Herthaplatz,14.0,"['Kita - Die Pankis', 'Waldkindergarten Robin Hood', 'Kita Sauseschritt', 'Kita Schillerwiese', 'Kita Kreuzgraben', 'Kita Meilenstein', 'Kita Schillersternchen', 'Kindergarten Rehkidz', 'Kita Schillerzwerge', 'Kita Dietzgen-Strolche', 'Pankizwerge', 'Kita Knirpsentreff', 'Evangelische Kindertagesstätte', 'Kinderladen ""Schneeweißchen""']"
03200308,Nisbléstraße,4.0,"['Kita Petitweg', 'Kita Die Insel', 'Kita Französisch Buchholz', 'Kita Kindererde Berliner Straße']"
03200309,Eddastraße,3.0,"['ASB Kita Triftbande', 'Kita Spatzenhaus', 'Kita Villa Universum']"
03200310,Krugpfuhl,8.0,"['Kita Zauberstein', 'Kita La Cigale/Kigä NordOst', 'Kita Murmelstein', 'Kita Buchholz', 'Kita Schützenstr. 133/Kigä NordOst', 'Kleiner Fratz', 'Kita p.f.-knirpse', 'ASB Hugenottenhofkita Berlin']"
03300411,Karow Nord,11.0,"['Integrationskindergarten Pfannschmidtstr. 70/Kigä NordOst', 'Kita Die Röländer', 'Kita Krümelkiste', 'Kita Busonistr.145/Kigä NordOst', 'Kita Sonnenblume/Kigä NordOst', 'Kita Orgelpfeifen', 'Kita Entdeckerland', 'Kita Achillesstraße', 'Kita Zitterbacke 2', 'Cooperative Mensch Kita Karow Kidz', 'Kita Nordstern']"
03300412,Karow Bahnhof,2.0,"['Kita Karower Knirpse', 'Kita der kleinen Kreativen']"
03300413,Karow Ost,3.0,"['Kita ""Tausendfüßer""', 'ev. Kita Himmels.Blick', 'Kindertagesstätte Piratenkids']"
03300514,Blankenburg,1.0,['Kita Spatzenburg/Kigä NordOst']
03300515,Blankenburger Süden,1.0,['Kita Blankenburger Wichtel']
03300516,Heinersdorf,3.0,"['Kita Steinbergzwerge', 'Ev. Kita Heinersdorf', 'Kita- Peacekids']"
03300517,Märchenland,,
