PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Jungfernheide/Plötzensee,04100101,Erhöht,Erhöht,Erhöht
Paul-Hertz-Siedlung,04100102,Mittel,Erhöht,Mittel
Olympiagelände,04200203,Stark erhöht,Niedrig,Erhöht
Angerburger Allee,04200204,Mittel,Mittel,Niedrig
Flatowallee,04200205,Niedrig,Niedrig,Niedrig
Kranzallee,04200206,Mittel,Niedrig,Niedrig
Eichkamp,04200207,Mittel,Niedrig,Mittel
Branitzer Platz,04200308,Mittel,Mittel,Mittel
Neu Westend,04200309,Niedrig,Niedrig,Niedrig
Fürstenplatz,04200310,Mittel,Niedrig,Niedrig
Königin-Elisabeth-Straße,04200311,Erhöht,Mittel,Mittel
Schlossgarten,04300412,Mittel,Mittel,Mittel
Klausenerplatz,04300413,Mittel,Erhöht,Niedrig
Schloßstraße,04300414,Mittel,Niedrig,Mittel
Lietzensee,04300415,Mittel,Niedrig,Mittel
Amtsgerichtsplatz,04300416,Mittel,Mittel,Niedrig
Tegeler Weg,04300517,Mittel,Mittel,Mittel
Kaiserin-Augusta-Allee,04300518,Mittel,Mittel,Mittel
Alt-Lietzow,04300619,Mittel,Mittel,Mittel
Spreestadt,04300620,Mittel,Mittel,Niedrig
Richard-Wagner-Straße,04300621,Mittel,Mittel,Mittel
Ernst-Reuter-Platz,04300622,Erhöht,Erhöht,Mittel
Karl-August-Platz,04300623,Mittel,Mittel,Mittel
Savignyplatz,04300624,Mittel,Mittel,Mittel
Güterbahnhof Grunewald,04400725,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche,Weitgehend unbewohnte Fläche
Bismarckallee,04400726,Mittel,Mittel,Mittel
Flinsberger Platz,04400727,Mittel,Mittel,Niedrig
Hagenplatz,04400728,Mittel,Mittel,Mittel
Hundekehle,04400729,Mittel,Mittel,Niedrig
Forckenbeckstraße,04400830,Mittel,Mittel,Mittel
Messelpark,04400831,Mittel,Mittel,Niedrig
Breite Straße,04400832,Niedrig,Niedrig,Niedrig
Schlangenbader Straße,04400833,Mittel,Mittel,Mittel
Binger Straße,04400834,Niedrig,Mittel,Niedrig
Rüdesheimer Platz,04400835,Niedrig,Mittel,Niedrig
Droysenstraße,04500936,Mittel,Mittel,Mittel
Halensee,04500937,Mittel,Mittel,Niedrig
Hochmeisterplatz,04500938,Mittel,Mittel,Niedrig
Eisenzahnstraße,04500939,Mittel,Mittel,Mittel
Hindemithplatz,04501040,Mittel,Niedrig,Niedrig
George-Grosz-Platz,04501041,Mittel,Mittel,Mittel
Breitscheidplatz,04501042,Stark erhöht,Stark erhöht,Stark erhöht
Preußenpark,04501043,Mittel,Mittel,Niedrig
Ludwigkirchplatz,04501044,Mittel,Mittel,Mittel
Schaperstraße,04501045,Mittel,Mittel,Niedrig
Barstraße,04501146,Mittel,Mittel,Mittel
Leon-Jessel-Platz,04501147,Mittel,Mittel,Mittel
Brabanter Platz,04501148,Mittel,Mittel,Niedrig
