PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Baumschulenweg West,09100304,2,Mittel,2,Mittel,2,Mittel
Baumschulenweg Ost,09100305,2,Mittel,2,Mittel,3,Erhöht
Späthsfelde,09100306,2,Mittel,2,Mittel,2,Mittel
Johannisthal West,09100407,2,Mittel,1,Niedrig,2,Mittel
Johannisthal Ost,09100408,2,Mittel,2,Mittel,2,Mittel
Landschaftspark Adlershof,09100409,2,Mittel,2,Mittel,2,Mittel
Helmholtz-Kiez,09200510,2,Mittel,2,Mittel,2,Mittel
Griechischer Park,09200511,2,Mittel,2,Mittel,2,Mittel
Wuhlheide,09200512,2,Mittel,2,Mittel,3,Erhöht
Bahnhof Schöneweide,09200613,2,Mittel,2,Mittel,2,Mittel
Oberspree,09200614,2,Mittel,1,Niedrig,1,Niedrig
Wista,09200715,2,Mittel,2,Mittel,2,Mittel
Dörpfeldstraße West,09200716,2,Mittel,2,Mittel,2,Mittel
Dörpfeldstraße Ost,09200717,2,Mittel,2,Mittel,1,Niedrig
Spindlersfeld,09200818,2,Mittel,2,Mittel,1,Niedrig
Köllnische Vorstadt,09200819,2,Mittel,3,Erhöht,3,Erhöht
Dorf Altglienicke,09300920,1,Niedrig,2,Mittel,1,Niedrig
Preußen Siedlung,09300921,1,Niedrig,1,Niedrig,1,Niedrig
Kosmos Viertel,09300922,2,Mittel,3,Erhöht,2,Mittel
Kölner Viertel,09300923,2,Mittel,3,Erhöht,2,Mittel
Falkenberg,09301024,2,Mittel,1,Niedrig,2,Mittel
Alt-Bohnsdorf,09301025,2,Mittel,2,Mittel,2,Mittel
Grünau,09301126,2,Mittel,1,Niedrig,1,Niedrig
Karolinenhof,09301227,1,Niedrig,1,Niedrig,1,Niedrig
Schmöckwitz/Rauchfangswerder,09301228,1,Niedrig,1,Niedrig,1,Niedrig
Kietzer Feld/Nachtheide,09401329,1,Niedrig,1,Niedrig,1,Niedrig
Wendenschloß,09401330,1,Niedrig,1,Niedrig,1,Niedrig
Allende I,09401431,1,Niedrig,1,Niedrig,2,Mittel
Siedlung Kämmereiheide,09401432,2,Mittel,2,Mittel,2,Mittel
Allende II,09401433,2,Mittel,2,Mittel,2,Mittel
Altstadt Köpenick,09401534,2,Mittel,2,Mittel,2,Mittel
Müggelheim,09401635,1,Niedrig,1,Niedrig,1,Niedrig
Hirschgarten,09501736,2,Mittel,1,Niedrig,1,Niedrig
Alt-Friedrichshagen,09501737,1,Niedrig,1,Niedrig,1,Niedrig
Rahnsdorf,09501838,2,Mittel,1,Niedrig,1,Niedrig
Bahnhofstraße,09501939,2,Mittel,1,Niedrig,2,Mittel
Güterbahnhof Köpenick,09501940,2,Mittel,2,Mittel,1,Niedrig
Friedrichshagener Straße,09501941,2,Mittel,1,Niedrig,1,Niedrig
Mittelheide,09502042,1,Niedrig,2,Mittel,1,Niedrig
Dammheide,09502043,1,Niedrig,1,Niedrig,1,Niedrig
Marzahn West,10100101,2,Mittel,4,Stark erhöht,3,Erhöht
Rosenbecker Straße,10100102,2,Mittel,4,Stark erhöht,2,Mittel
Wittenberger Straße,10100103,2,Mittel,3,Erhöht,4,Stark erhöht
Golliner Straße,10100104,2,Mittel,3,Erhöht,4,Stark erhöht
Gewerbegebiet Bitterfelder Straße,10100205,4,Stark erhöht,4,Stark erhöht,4,Stark erhöht
Wuhletalstraße,10100206,2,Mittel,3,Erhöht,4,Stark erhöht
Ahrensfelder Berge,10100207,2,Mittel,3,Erhöht,3,Erhöht
Bürgerpark,10100208,2,Mittel,2,Mittel,2,Mittel
Lea-Grundig-Straße,10100209,2,Mittel,3,Erhöht,2,Mittel
Marzahner Promenade,10100210,2,Mittel,2,Mittel,3,Erhöht
Marzahner Chaussee,10100311,4,Stark erhöht,3,Erhöht,3,Erhöht
Springpfuhl,10100312,2,Mittel,2,Mittel,2,Mittel
Alt-Marzahn,10100313,2,Mittel,3,Erhöht,2,Mittel
Auersbergstraße,10100314,2,Mittel,2,Mittel,2,Mittel
Bärenstein,10100315,2,Mittel,2,Mittel,2,Mittel
Landsberger Tor,10100316,2,Mittel,2,Mittel,2,Mittel
Zossener Straße,10200417,2,Mittel,4,Stark erhöht,3,Erhöht
Kyritzer Straße,10200418,2,Mittel,2,Mittel,3,Erhöht
Havelländer Ring,10200419,2,Mittel,2,Mittel,2,Mittel
Gut Hellersdorf,10200420,2,Mittel,4,Stark erhöht,3,Erhöht
Helle Mitte,10200421,4,Stark erhöht,4,Stark erhöht,4,Stark erhöht
Hellersdorfer Promenade,10200422,2,Mittel,4,Stark erhöht,2,Mittel
Böhlener Straße,10200423,2,Mittel,3,Erhöht,2,Mittel
Adele-Sandrock-Straße,10200524,2,Mittel,2,Mittel,2,Mittel
Schleipfuhl,10200525,2,Mittel,3,Erhöht,3,Erhöht
Boulevard Kastanienallee,10200526,2,Mittel,4,Stark erhöht,3,Erhöht
Am Kienberg,10200627,2,Mittel,3,Erhöht,2,Mittel
Neue Grottkauer Straße,10200628,2,Mittel,4,Stark erhöht,3,Erhöht
Teterower Ring,10200629,2,Mittel,2,Mittel,2,Mittel
Cecilienplatz,10200630,2,Mittel,3,Erhöht,2,Mittel
Oberfeldstraße,10300731,1,Niedrig,1,Niedrig,2,Mittel
Buckower Ring,10300732,2,Mittel,2,Mittel,2,Mittel
Alt-Biesdorf,10300733,2,Mittel,2,Mittel,2,Mittel
Biesdorf Süd,10300734,1,Niedrig,1,Niedrig,2,Mittel
Kaulsdorf Nord,10400835,1,Niedrig,2,Mittel,2,Mittel
Alt-Kaulsdorf,10400836,2,Mittel,2,Mittel,3,Erhöht
Kaulsdorf Süd,10400837,1,Niedrig,1,Niedrig,1,Niedrig
Mahlsdorf Nord,10400938,1,Niedrig,1,Niedrig,1,Niedrig
Alt-Mahlsdorf,10400939,2,Mittel,1,Niedrig,2,Mittel
Elsensee,10400940,1,Niedrig,1,Niedrig,1,Niedrig
Pilgramer Straße,10400941,1,Niedrig,1,Niedrig,1,Niedrig
Dörfer Malchow-Wartenberg,11100101,1,Niedrig,1,Niedrig,1,Niedrig
Dorf Falkenberg,11100102,2,Mittel,2,Mittel,2,Mittel
Falkenberg Ost,11100203,2,Mittel,3,Erhöht,2,Mittel
Falkenberg West,11100204,2,Mittel,2,Mittel,2,Mittel
Wartenberg Süd,11100205,2,Mittel,2,Mittel,3,Erhöht
Wartenberg Nord,11100206,2,Mittel,3,Erhöht,2,Mittel
Zingster Straße Ost,11100307,2,Mittel,2,Mittel,3,Erhöht
Zingster Straße West,11100308,2,Mittel,3,Erhöht,2,Mittel
Mühlengrund,11100309,2,Mittel,3,Erhöht,3,Erhöht
Malchower Weg,11200410,2,Mittel,3,Erhöht,2,Mittel
Hauptstraße,11200411,2,Mittel,2,Mittel,2,Mittel
Orankesee,11200512,2,Mittel,1,Niedrig,2,Mittel
Große-Leege-Straße,11200513,2,Mittel,2,Mittel,1,Niedrig
Landsberger Allee,11200514,2,Mittel,2,Mittel,2,Mittel
Weiße Taube,11200515,1,Niedrig,1,Niedrig,1,Niedrig
Hohenschönhauser Straße,11300616,2,Mittel,2,Mittel,2,Mittel
Fennpfuhlpark,11300617,2,Mittel,2,Mittel,4,Stark erhöht
Storkower Bogen,11300618,2,Mittel,2,Mittel,1,Niedrig
Rudolf-Seiffert-Park,11300619,2,Mittel,1,Niedrig,2,Mittel
Fennpfuhl Ost,11300620,2,Mittel,2,Mittel,2,Mittel
Herzbergstraße,11300721,3,Erhöht,2,Mittel,4,Stark erhöht
Rathaus Lichtenberg,11300722,2,Mittel,2,Mittel,2,Mittel
Bornitzstraße,11300723,2,Mittel,1,Niedrig,2,Mittel
Roedeliusplatz,11300724,2,Mittel,2,Mittel,3,Erhöht
Nibelungenviertel,11300725,2,Mittel,2,Mittel,2,Mittel
Frankfurter Allee Süd,11300826,2,Mittel,2,Mittel,3,Erhöht
Victoriastadt,11400927,2,Mittel,2,Mittel,2,Mittel
Nöldnerplatz,11400928,2,Mittel,1,Niedrig,2,Mittel
Weitlingkiez,11400929,2,Mittel,2,Mittel,1,Niedrig
Zachertstraße,11400930,1,Niedrig,1,Niedrig,2,Mittel
Massower Straße,11400931,2,Mittel,2,Mittel,2,Mittel
Rosenfelder Ring,11401032,2,Mittel,2,Mittel,2,Mittel
Gensinger Straße,11401033,2,Mittel,2,Mittel,2,Mittel
Tierpark,11401034,2,Mittel,2,Mittel,2,Mittel
Dolgenseestraße,11401135,2,Mittel,2,Mittel,2,Mittel
Volkradstraße,11401136,2,Mittel,1,Niedrig,2,Mittel
Erieseering,11401137,2,Mittel,2,Mittel,2,Mittel
Rummelsburg,11501238,2,Mittel,2,Mittel,2,Mittel
Karlshorst West,11501339,1,Niedrig,2,Mittel,2,Mittel
Karlshorst Nord,11501340,1,Niedrig,1,Niedrig,1,Niedrig
Karlshorst Süd,11501341,1,Niedrig,1,Niedrig,1,Niedrig
Letteplatz,12100101,2,Mittel,3,Erhöht,2,Mittel
Hausotterplatz,12100102,2,Mittel,3,Erhöht,2,Mittel
Breitkopfbecken,12100103,2,Mittel,3,Erhöht,2,Mittel
Schäfersee,12100204,2,Mittel,3,Erhöht,2,Mittel
Teichstraße,12100205,2,Mittel,3,Erhöht,2,Mittel
Humboldtstraße,12100206,2,Mittel,2,Mittel,1,Niedrig
Reinickes Hof,12200307,2,Mittel,2,Mittel,2,Mittel
Meller Bogen,12200308,2,Mittel,2,Mittel,2,Mittel
Scharnweberstraße,12200309,3,Erhöht,3,Erhöht,2,Mittel
Klixstraße,12200310,2,Mittel,3,Erhöht,2,Mittel
Schumacher-Quartier,12200411,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Waldidyll/Flughafensee,12200412,2,Mittel,2,Mittel,2,Mittel
Tegel Süd,12200413,2,Mittel,3,Erhöht,2,Mittel
TXL,12200414,3,Erhöht,4,Stark erhöht,2,Mittel
Alt-Tegel,12200515,2,Mittel,2,Mittel,3,Erhöht
Konradshöhe/Tegelort,12400616,1,Niedrig,1,Niedrig,1,Niedrig
Alt-Heiligensee,12400617,1,Niedrig,1,Niedrig,2,Mittel
Heiligensee Nord,12400618,2,Mittel,1,Niedrig,3,Erhöht
Heiligensee,12400619,1,Niedrig,1,Niedrig,2,Mittel
Frohnau West,12400720,1,Niedrig,1,Niedrig,2,Mittel
Frohnau Ost,12400721,1,Niedrig,1,Niedrig,1,Niedrig
Hermsdorf West,12400722,1,Niedrig,1,Niedrig,2,Mittel
Hermsdorf Ost/Waldsee,12400723,1,Niedrig,1,Niedrig,2,Mittel
Ziekowstraße/Freie Scholle,12500824,2,Mittel,2,Mittel,1,Niedrig
Borsigwalde,12500825,2,Mittel,2,Mittel,2,Mittel
Wittenau Mitte,12500926,2,Mittel,2,Mittel,3,Erhöht
Wittenau Nord,12500927,2,Mittel,2,Mittel,2,Mittel
Waidmannslust,12500928,1,Niedrig,2,Mittel,2,Mittel
Lübars,12500929,2,Mittel,1,Niedrig,1,Niedrig
Wittenau Süd,12500930,2,Mittel,2,Mittel,2,Mittel
Lübarser Straße,12601031,2,Mittel,2,Mittel,1,Niedrig
Rollbergesiedlung,12601032,2,Mittel,3,Erhöht,2,Mittel
Treuenbrietzener Straße,12601133,2,Mittel,4,Stark erhöht,2,Mittel
Märkisches Zentrum,12601134,2,Mittel,3,Erhöht,3,Erhöht
Dannenwalder Weg,12601235,2,Mittel,3,Erhöht,2,Mittel
Schorfheidestraße,12601236,2,Mittel,2,Mittel,2,Mittel
