PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Eddastraße,03200309,1,Niedrig,1,Niedrig,1,Niedrig
Krugpfuhl,03200310,1,Niedrig,1,Niedrig,2,Mittel
Karow Nord,03300411,1,Niedrig,2,Mittel,2,Mittel
Karow Bahnhof,03300412,1,Niedrig,1,Niedrig,1,Niedrig
Karow Ost,03300413,1,Niedrig,1,Niedrig,1,Niedrig
Blankenburg,03300514,2,Mittel,1,Niedrig,2,Mittel
Blankenburger Süden,03300515,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Heinersdorf,03300516,2,Mittel,2,Mittel,2,Mittel
Märchenland,03300517,2,Mittel,2,Mittel,2,Mittel
Rosenthal,03400618,1,Niedrig,1,Niedrig,1,Niedrig
Wilhelmsruh,03400619,1,Niedrig,2,Mittel,1,Niedrig
Schönholz,03400620,2,Mittel,1,Niedrig,1,Niedrig
Florakiez,03400721,1,Niedrig,1,Niedrig,1,Niedrig
Parkstraße,03400722,2,Mittel,1,Niedrig,3,Erhöht
Garbátyplatz,03400723,2,Mittel,2,Mittel,3,Erhöht
Wolfshagener Straße,03400724,1,Niedrig,1,Niedrig,2,Mittel
Schlosspark,03400725,1,Niedrig,2,Mittel,2,Mittel
Tiroler Viertel,03400826,2,Mittel,2,Mittel,3,Erhöht
Trelleborger Viertel,03400827,1,Niedrig,1,Niedrig,1,Niedrig
Spiekermann Straße,03400828,1,Niedrig,1,Niedrig,1,Niedrig
Arnold-Zweig-Straße,03400829,1,Niedrig,1,Niedrig,2,Mittel
Kissingenviertel,03400830,1,Niedrig,2,Mittel,1,Niedrig
Pankower Tor,03400831,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche,0,Weitgehend unbewohnte Fläche
Bühringstraße,03500932,2,Mittel,2,Mittel,2,Mittel
Weißer See,03500933,2,Mittel,2,Mittel,2,Mittel
Weißenseer Spitze,03500934,2,Mittel,2,Mittel,2,Mittel
Behaimstraße,03500935,2,Mittel,2,Mittel,2,Mittel
Komponistenviertel Weißensee,03500936,2,Mittel,1,Niedrig,2,Mittel
Rathaus Weißensee,03501037,2,Mittel,2,Mittel,2,Mittel
Hansastraße,03501038,2,Mittel,2,Mittel,2,Mittel
Norweger Viertel,03601139,2,Mittel,2,Mittel,2,Mittel
Malmöer Straße,03601140,1,Niedrig,1,Niedrig,1,Niedrig
Arnimplatz,03601141,2,Mittel,1,Niedrig,2,Mittel
Falkplatz,03601142,2,Mittel,1,Niedrig,3,Erhöht
Rodenbergstraße,03601243,2,Mittel,2,Mittel,2,Mittel
Humannplatz,03601244,1,Niedrig,1,Niedrig,1,Niedrig
Ostseestraße,03601245,2,Mittel,1,Niedrig,1,Niedrig
Gethsemanekirche,03601346,2,Mittel,1,Niedrig,1,Niedrig
Helmholtzplatz,03601347,2,Mittel,1,Niedrig,2,Mittel
Senefelderstraße,03601348,2,Mittel,2,Mittel,1,Niedrig
Michelangelostraße,03601449,2,Mittel,2,Mittel,2,Mittel
Volkspark Prenzlauer Berg,03601450,3,Erhöht,3,Erhöht,3,Erhöht
Anton-Saefkow-Park,03601451,2,Mittel,1,Niedrig,1,Niedrig
Velodrom,03601452,2,Mittel,2,Mittel,2,Mittel
Alter Schlachthof,03601453,2,Mittel,1,Niedrig,2,Mittel
Teutoburger Platz,03701554,2,Mittel,1,Niedrig,2,Mittel
Sredzkistraße,03701555,2,Mittel,1,Niedrig,3,Erhöht
Kollwitzplatz,03701556,2,Mittel,1,Niedrig,1,Niedrig
Thälmannpark,03701657,2,Mittel,2,Mittel,2,Mittel
