PLR_ID,PLR_NAME,charging_stations,charging_points,combined_power
09401329,Kietzer Feld/Nachtheide,1.0,2.0,44.0
09401330,Wendenschloß,,,
09401431,Allende I,,,
09401432,Siedlung Kämmereiheide,,,
09401433,Allende II,,,
09401534,Altstadt Köpenick,,,
09401635,Müggelheim,,,
09501736,Hirschgarten,,,
09501737,Alt-Friedrichshagen,11.0,11.0,33.0
09501838,Rahnsdorf,2.0,3.0,47.0
09501939,Bahnhofstraße,9.0,15.0,267.0
09501940,Güterbahnhof Köpenick,,,
09501941,Friedrichshagener Straße,4.0,8.0,966.0
09502042,Mittelheide,1.0,2.0,22.0
09502043,Dammheide,,,
10100101,Marzahn West,,,
10100102,Rosenbecker Straße,2.0,6.0,288.0
10100103,Wittenberger Straße,1.0,2.0,44.0
10100104,Golliner Straße,6.0,6.0,18.0
10100205,Gewerbegebiet Bitterfelder Straße,8.0,10.0,241.0
10100206,Wuhletalstraße,5.0,5.0,15.0
10100207,Ahrensfelder Berge,,,
10100208,Bürgerpark,2.0,5.0,144.0
10100209,Lea-Grundig-Straße,3.0,3.0,9.0
10100210,Marzahner Promenade,1.0,2.0,44.0
10100311,Marzahner Chaussee,28.0,41.0,3789.0
10100312,Springpfuhl,4.0,6.0,131.0
10100313,Alt-Marzahn,,,
10100314,Auersbergstraße,3.0,3.0,9.0
10100315,Bärenstein,,,
10100316,Landsberger Tor,3.0,6.0,191.0
10200417,Zossener Straße,1.0,2.0,44.0
10200418,Kyritzer Straße,,,
10200419,Havelländer Ring,,,
10200420,Gut Hellersdorf,,,
10200421,Helle Mitte,1.0,2.0,22.0
10200422,Hellersdorfer Promenade,3.0,3.0,9.0
10200423,Böhlener Straße,,,
10200524,Adele-Sandrock-Straße,2.0,2.0,6.0
10200525,Schleipfuhl,2.0,4.0,172.0
10200526,Boulevard Kastanienallee,,,
10200627,Am Kienberg,,,
10200628,Neue Grottkauer Straße,4.0,4.0,12.0
10200629,Teterower Ring,4.0,5.0,53.0
10200630,Cecilienplatz,,,
10300731,Oberfeldstraße,30.0,32.0,428.0
