PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
06030606,Hindenburgdamm,5612,6.2,1.6,35.21
06030607,Goerzwerke,3152,0,1.71,34.43
06030608,Schweizer Viertel,13747,0.45,1.83,42.39
06030609,Augustaplatz,12046,4,1.99,44.71
06030610,Lichterfelde West,8511,1.14,2.08,49.11
06040701,Wannsee,10126,1.68,2.2,54.11
06040702,Düppel,5234,9.41,1.97,45.03
06040703,Nikolassee,11498,5.4,1.99,48.34
06040804,Krumme Lanke,7511,0,2.47,59.05
06040805,Fischerhüttenstraße,5278,0.56,2.23,51.88
06040806,Fischtal,7266,0,2.15,44.08
06040807,Zehlendorf Eiche,5958,0,2.13,49.2
06040808,Hüttenweg,4810,0,1.77,43.11
06040809,Thielallee,4902,0,2.17,55.22
06040810,Dahlem,7204,2.72,2.35,65.1
07010101,Wittenbergplatz/Viktoria-Luise-Platz,9808,6.98,1.93,45.65
07010102,Nollendorfplatz,16387,25.08,1.74,38.69
07010103,Barbarossaplatz,10468,2.45,1.88,42.47
07010104,Dennewitzplatz,13480,34.31,1.68,36.7
07020201,Bayerischer Platz,10578,7.91,2.07,45.87
07020202,Volkspark (Rudolf-Wilde-Park),10501,12.87,1.69,37.98
07020203,Kaiser-Wilhelm-Platz,17811,9.42,1.73,40.56
07020204,Schöneberger Insel,12716,1.7,1.82,41.19
07030301,Friedenau,24466,1.47,2,45.29
07030302,Ceciliengärten,9371,4.81,2,43.32
07030303,Grazer Platz,12302,0.68,1.79,36.8
07040401,Neu-Tempelhof,17502,34.25,1.71,38.6
07040402,Lindenhofsiedlung,2255,0,2.03,35.88
07040403,Manteuffelstraße,24582,8.08,1.77,36.39
07040404,Marienhöhe,5114,0,2.08,39.38
07040405,Rathaus Tempelhof,11104,4.3,1.6,34.61
07040406,Germaniagarten,3980,0,1.45,31.05
07050501,Rathausstraße,17028,10.84,1.73,35.09
07050502,Fritz-Werner-Straße,8141,29.25,1.68,34.75
07050503,Eisenacher Straße,9101,4.54,1.88,36.8
07050504,Imbrosweg,5653,0,1.7,37.41
07050505,Hundsteinweg,10584,6.77,1.81,38.91
07050506,Birnhornweg,2233,0,2.14,48.29
07060601,Marienfelder Allee Nordwest,10193,17.75,1.59,32.38
07060602,Kirchstraße,4740,4.33,2.02,43.97
07060603,Marienfelde Nordost,2869,0,1.75,36.7
07060604,Marienfelde Süd,14462,44.31,1.74,36.39
07070701,Kettinger Straße/Schillerstraße,10498,6.37,2.04,43.88
