PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
Pettenkofer Straße,02500729,5441,4.05498,7.53538,12.30398,1.01987,-0.65748,-1.05299,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.66,27.67,9.72,39.96,33.36,21.85,1.21,54.75,13.31,0,58.82,27.89,-1.31,-5.83
Niederbarnimstraße,02500830,3931,4.49129,7.78428,11.40351,0.75184,-0.17987,-1.83178,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.57,30.86,9.9,48.13,38.39,26.23,0.72,52.28,11.22,0,54.79,35.28,0.5,-1.24
Wismarplatz,02500831,7877,4.90996,9.85147,21.14804,1.15159,-0.54126,-2.26507,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.86,32.59,10.08,46.24,37.77,27.29,2.77,57.16,17.99,0,52.88,35.19,-1.43,-5.81
Traveplatz,02500832,9064,5.45528,11.03266,23.92727,0.7632,-2.3023,-3.20796,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.99,29.55,10.19,50.62,41.02,29.78,3.18,59.58,21.98,0,46.76,37.95,3.48,0.41
Boxhagener Platz,02500833,10190,3.854,7.08538,17.17557,0.62186,0.02281,1.89255,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.09,29.44,7.19,37.81,37.07,28.02,1.9,52.22,10.25,0,51.95,38.1,-0.26,-12.61
Revaler Straße,02500834,11378,2.9418,5.73036,9.31877,0.65025,-0.01472,-0.49156,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.91,27.44,7.05,35.81,34.85,24.35,2.63,51.93,8.82,0,51.51,34.71,-0.39,-5.68
Stralauer Kiez,02500835,7868,4.21724,8.07067,18.91026,1.13686,-0.27363,0.10395,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.7,28.13,7.31,45.17,38.22,27.31,2.73,52.3,11.06,15.84,48.72,35.89,0.87,-6.96
Stralauer Halbinsel,02500836,4709,1.43775,3.48269,3.89064,0.2091,0.90068,1.08286,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,18.26,3.89,30.02,22.89,10.66,-2.55,65.94,8.32,0,55.04,22.34,-1.06,-1.48
Bucher Forst,03100101,4499,7.94118,8.64637,12.37374,2.7287,-0.61246,-1.55384,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.54,26.46,2.78,20.32,17.27,11.11,1.19,62.6,28,3.47,58.66,34.33,1.47,4.43
Klinikum Buch,03100102,3214,6.32591,10.67206,25,1.97808,0.03451,3.99408,2,mittel,5,negativ,"Status mittel , Dynamik negativ",6.29,33.8,1.72,49.55,27.19,19.6,10.13,86.51,26.44,57,52.36,42.48,6.93,3.91
Karower Chaussee,03100103,8979,7.80798,14.31117,32.92765,1.63972,-2.16324,-3.16068,2,mittel,3,stabil,"Status mittel , Dynamik stabil",5.8,49.9,1.73,29.04,18.44,13.53,-2.59,81.89,28.5,46.12,69.77,25.05,-2.58,-6.92
Blankenfelde,03200204,2058,1.8254,2.6725,4.24028,0.47309,-1.09118,-1.33075,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,29.95,0,11.35,6.17,2.28,-9.31,40.43,18.18,99.85,77.88,28.57,-4.07,-7.14
Uhlandstraße,03200205,8696,1.81135,4.33533,6.03053,0.43856,0.15828,-0.02311,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.5,26.51,2.35,22.63,16.02,8.54,1.83,53.84,12.18,37.07,67.52,20.68,1.44,1.37
Pastor-Niemöller-Platz,03200206,6404,2.43902,5.24672,7.03196,0.01284,0.32317,-0.5619,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.82,26.31,2.39,26.2,19.39,12.24,0.04,63.65,15.44,0,66.68,18.22,-0.92,-1.28
Herthaplatz,03200207,11464,3.08054,5.90544,11.34605,0.73648,-0.39679,0.23494,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.88,26.45,2.31,26.35,16.77,9.47,1.16,68.14,28.41,23.12,63.8,17.75,-0.08,0.48
Nisbléstraße,03200308,5220,1.7452,3.54406,4.81651,0.55886,-0.85858,-1.74855,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.79,22.06,2.75,16.98,12.87,5.5,1.1,64.11,8.54,9.56,77.15,12.74,0.11,2.21
Eddastraße,03200309,5238,2.41796,4.77281,8.47851,0.55955,-1.15136,-3.30094,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.23,22.39,2.77,26.09,14.85,7.56,0.43,69.95,33.33,70.9,70.28,15.36,1.91,6.96
Krugpfuhl,03200310,7961,2.07382,5.3134,10.17831,0.60683,-0.76033,-1.17073,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.61,25.73,2.8,25.77,15.7,6.8,1.55,64.33,25.53,0.04,71.44,14.95,-0.75,0.14
Karow Nord,03300411,11455,3.93213,10.95591,23.19426,1.22688,0.74626,2.09761,2,mittel,5,negativ,"Status mittel , Dynamik negativ",2.77,35.83,3.39,30.42,19.76,11.65,2.11,79.48,42.96,0,62.61,20.93,-0.33,-0.29
Karow Bahnhof,03300412,5138,1.19889,1.88789,2.13415,0.40862,-0.41662,-0.68509,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.78,16.73,0.65,16.15,9.44,4.13,0.27,65.57,16.24,0,78.94,13.78,0.76,7.2
Karow Ost,03300413,3101,0.71283,1.93486,2.6971,-0.07187,-0.32054,-0.38298,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,21.3,0.61,15.64,9.29,3.87,0.6,55.83,12.61,0,79.82,11.75,-0.21,4.38
Blankenburg,03300514,6875,1.11137,2.48727,4.05539,0.18502,0.96435,2.09258,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.57,18.17,0.39,17.91,8.77,3.75,0.77,62.4,20.08,6.6,77.9,12.75,1.84,12.15
Blankenburger Süden,03300515,38,,,,,,,,,,,,,,,,,,,,,,,,,
Heinersdorf,03300516,7779,3.1583,5.60483,12.59982,1.29169,0.94669,4.85728,2,mittel,5,negativ,"Status mittel , Dynamik negativ",2.28,20.31,1.88,34.37,20.45,13.95,0.68,80.65,28.36,0,67.31,29.7,0.75,2.54
Märchenland,03300517,1120,0.91743,1.33929,4.16667,0.02057,-0.95956,-2.23333,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,32.56,0,12.34,4.29,1.52,-0.16,64.71,0,0.54,85.25,7.91,1.16,12.86
Rosenthal,03400618,4742,1.8238,3.26866,4.69974,0.48537,-0.26229,-1.23018,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.55,17.73,1.89,33.48,21.07,7.13,0.92,62.43,14.29,0.46,73.45,16.66,1.72,12.23
Wilhelmsruh,03400619,10438,2.5815,4.55068,10.13185,0.5522,0.24256,0.7453,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.17,28.03,1.71,33.39,19.14,9.48,1.85,62.18,18.37,0,67.02,20.57,1.8,3.44
Schönholz,03400620,3509,1.90265,4.10373,2.58303,0.32785,1.12399,-0.77518,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0.82,18.57,2.83,29.91,18.58,9.12,2.3,60.31,13.25,11.03,73.72,17.86,2.62,3.37
Florakiez,03400721,11438,2.88199,5.49047,7.53212,0.55409,0.0711,1.4884,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.5,27.19,2.48,26.68,20.25,11.22,0.97,57.76,14.09,0,65.16,20.87,-0.07,-3.91
Parkstraße,03400722,3607,1.71017,3.43776,4.44811,0.21237,-0.12499,0.7334,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.24,23.34,2.57,23.93,15.83,7.32,0.09,55.68,12.05,0,66.68,18.47,-0.58,-3.48
Garbátyplatz,03400723,7112,3.72487,6.24297,11.57811,0.7856,-1.33325,0.93622,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.21,29.45,2.57,29.15,22.81,13.3,1.93,64.27,16.7,0,56.6,25.91,3.41,3.19
Wolfshagener Straße,03400724,7633,3.64842,7.34967,15.40905,0.8095,-0.49863,-0.42279,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.51,38.69,2.52,24.09,13.74,7.65,1.15,61.82,16.17,0,70.53,15.58,-0.23,0.43
Schlosspark,03400725,7450,3.47349,6.79195,15.33575,0.88832,-0.46589,2.04703,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.45,35.64,2.54,25.36,13.56,7.41,1.89,66.3,23.78,5.66,65.6,16.2,2.06,5.87
Tiroler Viertel,03400826,6620,3.55987,6.40483,12.40602,0.94626,-0.75229,0.44191,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.2,33.69,3.17,29.79,18.94,13.02,0.89,72.74,17.34,0,64.05,24.03,-0.04,2.79
Trelleborger Viertel,03400827,9628,3.6058,5.85791,10.59078,0.81585,-0.56011,1.00775,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.22,32.44,3.13,29.16,23.61,15.57,0.74,59.71,9.01,0,61.32,24.79,0.59,-5.62
Spiekermann Straße,03400828,4615,2.81385,4.96208,8.78735,-0.24415,-1.22521,-3.09384,2,mittel,1,positiv,"Status mittel , Dynamik positiv",1.22,31.45,3.2,31.52,23.25,15.99,4.41,54.34,6.84,0,61.61,24.54,6.22,-3.95
Arnold-Zweig-Straße,03400829,5583,2.84784,6.39441,13.45455,0.92635,-0.41159,0.98289,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.73,31.42,3.17,27.81,17.37,10.55,1.83,65.7,15.52,0,72.3,16.44,0.63,2.48
Kissingenviertel,03400830,9292,4.3853,8.2867,18.82262,1.17839,-0.01548,2.04466,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.32,42.37,3.17,26.3,15.79,9.01,1.96,64.4,23.16,0,68.15,19.49,0.38,-1.39
Pankower Tor,03400831,,,,,,,,,,,,,,,,,,,,,,,,,,
Bühringstraße,03500932,5096,5.10174,8.83046,20.91988,0.35405,-4.22704,-8.24172,2,mittel,1,positiv,"Status mittel , Dynamik positiv",2.24,46.55,3.01,27.52,13.93,9.5,-5.89,71.49,28.6,10.89,68.07,21.04,-4.57,-12.13
Weißer See,03500933,7551,3.12375,6.46272,10.92003,0.48232,-0.11871,0.84509,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.08,29.81,2.51,26.3,17.24,10.26,1.77,52.65,12.76,0,65.71,20.82,1.08,-2.53
Weißenseer Spitze,03500934,10049,4.59042,6.37874,9.62635,1.51181,-1.61175,-1.98782,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.31,27.61,4.16,33.03,25.95,17.16,2.5,55.28,10.67,32.22,56.26,27.69,1.1,-3.16
Behaimstraße,03500935,6407,4.81007,7.46059,9.9356,0.35367,-2.58827,-4.88998,2,mittel,1,positiv,"Status mittel , Dynamik positiv",3.68,33.09,7.56,31.03,25.41,17.18,1.13,52.86,11.87,18.57,56.4,28.54,1.33,1.75
Komponistenviertel Weißensee,03500936,9819,3.78261,7.95397,15.55934,0.47525,-0.32896,1.67045,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.98,33.9,3.97,29.22,20.9,13.37,1.46,59.86,25.44,0,64.85,22.18,-0.16,-1.14
Rathaus Weißensee,03501037,8509,6.54858,8.99048,22.38232,1.64416,-1.91523,-3.59594,2,mittel,3,stabil,"Status mittel , Dynamik stabil",6.91,42.66,2.34,27.44,19.46,13.24,2.13,66.73,30,8.49,63.65,24.33,3.14,6.32
Hansastraße,03501038,7324,3.36062,7.52321,20.40816,0.96233,-0.90476,-1.8898,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.51,34.85,1.63,25.6,13.54,8.6,1.3,75.08,30.6,0.76,70.13,17.43,0.73,-3.14
Norweger Viertel,03601139,3795,4.63621,7.56258,14.16667,0.6182,-0.95097,-3.19274,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.63,29.89,6.11,48.99,34.86,23.64,2.31,59.87,16.89,0,48.32,26.34,1.95,4.78
Malmöer Straße,03601140,5884,3.18565,4.77566,4.67626,0.61524,-1.04017,-1.19141,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.35,26.48,6.13,35.54,30.68,20.58,1.82,52.6,8.3,0,56.77,31.44,2.35,-1.79
Arnimplatz,03601141,6576,3.09016,5.56569,9.68421,0.95542,-0.56055,1.11588,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0,26.01,6.24,40.4,33.39,22.66,1.34,52.28,9.66,0,57.35,30.43,-0.16,-6.94
Falkplatz,03601142,10744,2.94391,4.98883,6.12245,0.74738,0.30264,0.18553,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.91,29.15,7.32,40.29,35.35,24.26,0.83,50.67,6.54,0,56.75,29.73,-0.95,-7.82
Rodenbergstraße,03601243,7032,2.44648,4.52218,5.88915,0.4367,-0.41943,-0.5967,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.31,27.4,4.45,36.96,29.35,18.97,0.07,55.25,5.77,0,61.09,24.71,-1.51,-6.77
Humannplatz,03601244,7600,2.50768,4.64474,7.0407,0.47349,-0.21956,0.37403,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.43,35.25,4.46,36.22,26.8,17.66,1.6,57.45,5.74,0,64.45,25.09,-0.26,-5.16
Ostseestraße,03601245,12813,4.39333,7.94506,17.76119,1.21658,-1.31434,-3.13664,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.86,38.57,5.16,43.75,27,17.99,1.64,58,13.19,0,61.37,24.83,0.15,-5.81
Gethsemanekirche,03601346,5470,3.21771,6.67276,9.87074,0.65185,0.0591,0.5787,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.23,33.03,11.39,38.79,33.31,21.52,0.94,56.67,8.99,0,63.53,29.19,-0.51,-3.24
Helmholtzplatz,03601347,9548,3.37211,6.25262,8.07692,0.8431,-0.09642,0.37528,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.42,28.89,11.28,37.86,32.82,21.46,1.01,54.17,8.86,0,64.55,23.87,-2.37,-11.23
Senefelderstraße,03601348,7516,3.39623,5.16232,5.84532,0.87106,0.17794,1.17983,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.92,27.77,11.33,37.65,33.24,22.8,1.21,53.44,7.42,0,59.49,24.83,-1.46,-8.72
Michelangelostraße,03601449,9970,7.20243,10.57172,35.37981,1.9332,-0.84714,-1.72574,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.07,49.72,1.96,45.05,19.37,11.69,2.03,73.39,33.95,19.76,72.65,16.12,1.61,1.68
Volkspark Prenzlauer Berg,03601450,3965,13.63063,22.87516,50.58824,4.69296,3.87371,15.25491,4,sehr niedrig,5,negativ,"Status sehr niedrig , Dynamik negativ",8.05,42.86,2.67,68.49,42.19,34.27,-0.82,74.83,56.65,100,55.61,61.45,-1.94,1.56
Anton-Saefkow-Park,03601451,6373,3.88678,7.07673,9.82249,0.86724,-0.46344,1.31909,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.64,31.08,6.85,36.85,30.24,21.26,2.32,57.49,9.67,0,61.89,24.82,-1.43,-10.66
Velodrom,03601452,4063,5.46749,10.68176,24.9501,1.08768,-0.48292,-2.34248,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.54,40.89,5.31,44.64,32.17,21.86,1.68,64.75,16.84,0,59.24,26.32,1.9,1.46
Alter Schlachthof,03601453,2825,0.54083,1.34513,0.66401,0.24462,0.40528,0.01968,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,11.73,2.69,32.79,28.92,15.5,0.77,52.97,1.4,0,64.69,17.32,1.92,-1.64
Teutoburger Platz,03701554,11328,2.29302,4.74929,6.49718,0.43182,0.26873,-0.71054,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.3,30,6.78,44.76,38.08,25.4,0.6,55.89,6.07,0,60.11,28.27,0.03,-5.8
Sredzkistraße,03701555,7274,2.90507,4.26175,5.19481,0.61261,0.14952,1.20898,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.81,33.06,6.05,38.16,32.33,20.95,0.12,56.63,5.6,0,61.56,24.48,-1.68,-8.24
Kollwitzplatz,03701556,8656,1.97527,4.28604,6.24152,0.48945,0.38015,2.03234,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.18,23.05,6.18,50.12,39.22,27.55,0.68,60.63,6.45,0,57.28,30.05,-1.14,-5.38
Thälmannpark,03701657,3188,6.62344,12.07654,24.42396,1.59399,-0.52798,4.65652,2,mittel,5,negativ,"Status mittel , Dynamik negativ",2.47,33.02,6.05,54.09,32.62,21.96,1.95,68.29,20.32,0,66.61,19.37,-0.71,-2.37
Christburger Straße,03701658,8448,2.75831,4.85322,6.53644,0.74908,0.0729,1.01583,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.77,28.46,5.61,38.43,33.06,21.97,1.02,55.12,7.59,0,60.79,29.17,-1.36,-5.83
Immanuelkirchstraße,03701659,9164,2.73342,4.95417,8.12672,0.67991,0.27791,0.3578,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.46,27.23,5.65,42.37,34.1,21.98,0.61,55.26,7.78,0,63.07,26.2,-0.77,-2.85
Bötzowstraße,03701660,12823,2.56463,4.91305,6.2069,0.32074,0.31264,1.02009,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.28,28.55,4.79,34.88,28.35,17.57,0.58,56.81,8.85,0,62.03,24.27,-0.05,-2.31
Jungfernheide/Plötzensee,04100101,11548,7.52953,16.81676,43.97463,0.74456,-2.07606,-5.7078,2,mittel,1,positiv,"Status mittel , Dynamik positiv",3.34,39.01,10.14,72.51,49.58,29.58,1.74,60.33,25.37,40.32,68.28,24.66,0.38,-3.16
Paul-Hertz-Siedlung,04100102,7855,10.80474,24.13749,50.64443,2.03532,-2.49619,-2.23185,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",5.51,37.98,14.15,79.83,56.03,28.08,1.17,69.54,44.1,100,75.89,12.32,0.09,0.23
Olympiagelände,04200203,1482,1.61638,1.95682,7.18232,0.00694,-0.22861,1.39285,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,23.02,1.34,38.57,27.19,15.45,0.22,64.19,6.54,0,72.89,15.96,0.14,-3.41
Angerburger Allee,04200204,2832,2.94985,5.19068,11.39706,0.62775,0.55492,-2.18319,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.14,25.76,3.16,64.05,31.78,20.59,3.33,67.92,11.05,0,66.14,20.68,1.43,2.8
Flatowallee,04200205,2569,1.76614,2.99728,7.66423,0.33312,-0.28525,0.02303,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,24.88,2.14,47.09,32.27,18.68,1.02,63.75,5.75,0,67.09,22.35,0.98,-1.21
Kranzallee,04200206,2963,1.92744,3.77995,7.50605,0.53614,0.01541,2.69836,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,22.59,1.65,44.32,28.35,14.38,0.24,53.29,11.2,0,73.36,15.64,1.45,11.31
Eichkamp,04200207,3192,0.45956,1.53509,3.15789,-0.08098,0.16439,-0.57544,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,19.11,0.79,33.4,38.69,29.73,0.49,59.64,2.71,0,66.69,28.71,-0.69,10.56
Branitzer Platz,04200308,6379,2.99265,7.17981,19.50904,0.95503,1.86204,10.19606,2,mittel,5,negativ,"Status mittel , Dynamik negativ",1.45,21.52,4.57,60.28,37.87,25.24,2.7,71.43,17.72,0.39,59.71,35.15,2.56,10.22
Neu Westend,04200309,6936,2.51542,4.49827,10.21898,0.2796,0.01282,2.9187,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.65,29.26,3.63,43.47,28.55,15.61,-0.47,53.28,9.13,0,67.38,21.28,0.26,-1.63
Fürstenplatz,04200310,7809,3.42027,6.00589,13.40909,1.38775,0.43649,2.06406,2,mittel,5,negativ,"Status mittel , Dynamik negativ",1.79,22.58,3.64,58.96,37.7,22.1,-1.86,63.21,15.74,0,68.05,23.68,-1.31,0.31
Königin-Elisabeth-Straße,04200311,7218,4.64228,7.75838,18.93333,1.90416,-0.48117,-1.60931,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.74,29.36,7.31,62.62,38.92,23.34,-0.53,60.53,16.22,0,64.15,26.01,-1.3,-3.19
Schlossgarten,04300412,3329,5.80087,14.5389,22,-0.15843,-2.81674,-12.06114,2,mittel,1,positiv,"Status mittel , Dynamik positiv",3.35,30.57,19.61,69.94,55.81,41.21,2.01,67.71,11.33,0,46.95,42.64,6.72,2.92
Klausenerplatz,04300413,10334,5.18932,12.99594,24.61651,1.15144,-1.78063,-2.71226,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.82,30.16,15.59,63.25,48.31,26.33,-0.85,68.8,21.23,0,73.53,17.67,-1.62,-4.82
Schloßstraße,04300414,10786,3.54304,7.42629,13.36554,0.56426,-1.78472,-4.68362,2,mittel,1,positiv,"Status mittel , Dynamik positiv",2.44,28.15,9.19,56.36,38.97,22.81,-0.53,58.54,11.19,0,68.16,26.1,-1.11,-8.26
Lietzensee,04300415,6488,3.41126,7.25956,13.76582,0.28701,-0.69113,0.51661,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.1,26.98,9.13,55.26,38.95,23.27,0.73,60.4,11.41,0,69.5,20.28,0.23,-3.86
Amtsgerichtsplatz,04300416,12145,3.42482,6.9823,16.08232,1.16391,-0.54493,-1.738,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.44,30.27,6.94,55.55,41.63,25.99,-0.12,54.78,13.08,0,65.73,28.02,-0.72,-6.44
Tegeler Weg,04300517,9637,5.20078,11.09266,26.08696,0.67403,-1.10857,-2.54507,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.79,30.45,13.94,70.14,47.09,28.15,0.98,62.99,16.88,14.4,64.69,24.68,0.09,-6.3
Kaiserin-Augusta-Allee,04300518,5930,5.04775,11.28162,29.64072,0.52194,-1.8348,-4.27998,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.07,28.83,10.65,70.07,46.95,28.09,0.57,59.18,19.05,39.93,62.46,23.98,-0.07,-7.49
Alt-Lietzow,04300619,8859,4.24583,9.50446,21.88516,0.75403,-0.62269,-0.50781,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.25,29.08,9.98,66.45,45.51,26.92,0.71,62.77,12.27,0,65.02,22.51,0.17,-6.6
Spreestadt,04300620,3429,4.16513,10.09041,24.11765,0.18545,-2.76484,-5.64824,2,mittel,1,positiv,"Status mittel , Dynamik positiv",0.86,28.25,18.62,84.65,59.61,37.27,1.61,61.82,10.68,95.33,55.34,35.27,6.42,3.52
Richard-Wagner-Straße,04300621,10811,5.28801,11.66405,24.36333,1.33214,-0.65941,0.87456,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.51,27.27,14.59,68.96,48.8,28.46,0.81,59.83,18.99,0,65.14,23.61,-0.16,-3.91
Ernst-Reuter-Platz,04300622,5157,4.54917,12.10006,24.95697,0.13491,-1.20951,0.08302,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.5,27.19,18.12,81.52,57.86,33.22,0.68,69.76,13.48,0,59.72,26.17,0.75,-10.49
Karl-August-Platz,04300623,12121,4.38527,9.61142,21.46848,0.70035,-1.15278,-1.49109,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.75,26.57,11.8,72.63,54.91,35.47,0.43,61.67,13.54,0,63.61,27.3,-0.62,-6.67
Savignyplatz,04300624,9538,3.29703,6.02852,14.50472,0.97043,-0.18786,0.47963,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.13,29.15,7.33,63.72,46.28,29.87,0.29,61.53,8.22,0,64.57,26.06,-0.47,-4.24
Güterbahnhof Grunewald,04400725,110,,,,,,,,,,,,,,,,,,,,,,,,,
Bismarckallee,04400726,5470,2.35586,6.58135,12.14575,0.78723,0.74738,4.54341,2,mittel,5,negativ,"Status mittel , Dynamik negativ",0.65,26.68,5.39,63.35,42.58,23.49,1.92,60.93,15.02,0,63.66,23.69,3.66,10.95
Flinsberger Platz,04400727,8264,3.58276,6.53437,15.22453,0.8604,-1.1951,-1.18685,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.13,31.91,6.38,64.58,39.8,21.89,0.82,61.08,10.67,0,67.35,19.07,0.16,-3.28
Hagenplatz,04400728,3173,1.53322,3.24614,3.5533,0.29062,0.15369,-1.35133,1,hoch,3,stabil,"Status hoch , Dynamik stabil",1.24,28.57,2.46,59.71,36.84,19.45,0.3,62.24,3.68,0,66.33,21.38,2.16,0.29
Hundekehle,04400729,2796,1.23617,3.57654,5.49451,0.29396,0.75168,3.02537,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,27.84,1.56,60.04,37.59,19.85,0.36,64.5,5.4,0,69.21,20.19,0,21.59
Forckenbeckstraße,04400830,7119,4.05594,6.78466,14.89573,0.81901,-0.48355,2.61312,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.18,25.9,3.84,63.93,39.99,21.22,1.33,68.23,18.5,0,57.52,26.31,6.2,7.87
Messelpark,04400831,1513,0.75662,1.78453,3.52941,0.04233,0.07625,1.01369,1,hoch,3,stabil,"Status hoch , Dynamik stabil",0,23.26,1.27,52.91,28.09,14.61,0.02,58.82,0,0,73.18,15.61,0.24,8.37
Breite Straße,04400832,7023,2.40705,5.0121,9.34211,0.59909,0.70261,4.29563,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.19,24.55,4.26,43.7,26.74,14.81,1.17,61.73,12.14,0,72.2,18.1,0.58,-0.23
Schlangenbader Straße,04400833,4178,6.28205,13.236,31.49038,1.56427,2.5381,11.99177,2,mittel,5,negativ,"Status mittel , Dynamik negativ",1.57,35.09,9.77,65.55,36.69,20.34,1.99,64.35,26.9,0,73.58,16.23,0.77,7.01
Binger Straße,04400834,3574,2.31936,5.54001,8.20896,-0.04906,-0.81545,-0.43969,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.42,24.22,6.45,55.84,32.74,16.51,0.23,66.1,10.87,0,73.08,17.82,0.15,1.31
Rüdesheimer Platz,04400835,10593,2.32697,4.89002,8.09444,0.33488,-0.0591,0.82913,2,mittel,3,stabil,"Status mittel , Dynamik stabil",0.82,30.87,4.22,44.44,28.38,16.23,0.21,63.18,8.41,0,72.42,19.12,-0.61,-1.13
Droysenstraße,04500936,5638,3.76259,8.51366,22.01681,0.58964,-0.64941,-2.79059,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.39,27.68,6.86,66.57,45.62,27.17,-1.18,62.01,18.14,0,63.9,25.77,-0.72,-2.52
Halensee,04500937,7683,3.131,5.81804,9.61003,0.81003,-0.8963,-1.05279,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.34,27.56,7.16,63.31,42.22,25.08,0.65,59.26,7.98,0,63.56,25.36,1.43,-2.82
Hochmeisterplatz,04500938,7919,3.49894,7.46306,16.87571,0.84607,-0.41115,-1.46339,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.83,24.09,7.12,70.66,46.04,26.96,-0.25,62.01,11.44,0,63.2,23.63,-0.65,-1.35
Eisenzahnstraße,04500939,6496,4.42077,8.5899,19.2848,0.40219,-1.33895,-5.39605,2,mittel,1,positiv,"Status mittel , Dynamik positiv",2.2,32.47,8.6,70.56,46.04,24.66,1.34,65.79,17.84,0,66.96,22.13,1.25,3.25
Hindemithplatz,04501040,5998,2.70466,5.63521,7.07237,0.88255,-0.72184,0.0877,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.12,29.34,9.93,60.58,44.41,26.59,-0.53,57.99,8.28,0,66.14,22.11,-0.66,-3.02
