PLR_NAME,PLR_ID,EW,S1,S3,S4,D1,D3,D4,SI_N,SI_V,DI_N,DI_V,SDI_V,KI_01,KI_02,KI_03,KI_04,KI_05,KI_16,KI_06,KI_17,KI_07,KI_09,KI_10,KI_11,KI_12,KI_13
Paradestraße,07400721,5464,2.58572,8.65666,14.21053,0.36298,-1.0139,-0.78162,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.59,21.12,7.11,42.66,32.21,14.51,-13.92,63.3,19.35,0,74.98,49.01,-8.2,-9.83
Lindenhofsiedlung,07400822,2255,4.82809,11.04213,21.48148,0.50844,-2.09132,-4.44445,2,mittel,1,positiv,"Status mittel , Dynamik positiv",1.8,36.87,7.44,37.12,22.04,9.8,0.38,61.09,21.81,22.57,61.98,15.27,0.87,5.72
Wittekindstraße,07400823,9832,5.21081,13.78153,34.38767,0.15726,-0.73493,-3.62299,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.05,39.33,8.05,61.72,36.67,19.11,1.38,65.83,28.86,2.47,66.66,20.71,1.18,-1.17
Bosepark,07400824,7390,4.59194,11.06901,22.86528,1.21892,0.03058,0.84326,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.8,22.08,8.08,59.87,40.57,23.61,1.33,63.38,23.83,3.76,60.78,28,-0.71,-4.42
Friedrich-Karl-Straße,07400825,7360,4.99072,12.14674,28.98089,1.00562,-1.69206,-2.01699,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.64,32.77,8.07,62.17,42.32,23.79,1.32,62.71,21.88,0,66.66,23.5,0.26,-2.03
Marienhöhe,07400826,5114,3.48618,10.42237,22.2028,0.29868,-0.47062,-1.40831,2,mittel,3,stabil,"Status mittel , Dynamik stabil",1.39,31.02,6.41,48.03,28.02,13.39,0.85,63.65,23.47,0,72.48,16.09,-0.34,-4.31
Rathaus Tempelhof,07400927,11104,6.30108,14.44524,36.20237,1.20637,-1.1063,-1.29763,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.9,29.09,6.61,71.03,46.07,26.36,2.49,66.07,30.27,31.75,63.96,29.22,0.36,-1.33
Germaniagarten,07400928,3980,9.31864,23.51759,58.23009,1.35926,-3.25329,0.08677,4,sehr niedrig,3,stabil,"Status sehr niedrig , Dynamik stabil",5.98,37.14,19.24,84.34,57.16,36.01,0.49,55.13,32.89,100,55.99,30.33,-2.28,-11.58
Ringstraße,07501029,8138,6.18781,14.21725,35.90952,0.79848,-1.04085,-2.21484,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.95,30.4,7.55,65.35,41.3,21.44,1.05,63.21,32.14,30.07,60.61,27.49,1.52,-2.37
Machonstraße,07501030,8890,6.14127,14.45444,35.38851,0.58765,-1.70019,-2.69439,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.08,30.45,7.56,72.93,42.94,22.31,0.53,63.34,29.16,36.15,64.98,22.57,0.78,-0.06
Eisenacher Straße,07501031,9101,4.88611,11.31744,26.63317,0.80067,-1.06516,-3.01507,2,mittel,3,stabil,"Status mittel , Dynamik stabil",2.89,34.34,5.39,56.37,33.91,16.11,0.31,66.44,27.57,18.42,71.79,17.83,-0.37,-3.97
Imbrosweg,07501032,5653,5.39283,12.87812,28.51064,0.86128,-0.85153,0.77238,2,mittel,3,stabil,"Status mittel , Dynamik stabil",4.63,28.71,5.17,56.56,34.32,15.67,1.16,64.56,32.73,36.71,71.82,16.07,-0.04,0.24
Fritz-Werner-Straße,07501133,8141,6.58589,12.52917,30.03229,1.45467,-1.5366,-5.60785,2,mittel,3,stabil,"Status mittel , Dynamik stabil",3.69,29.94,4.58,71.51,40.12,23.33,2.92,64.03,28.47,93.28,64.6,22.66,1.41,-1.65
