PLR_ID,PLR_NAME,electricity_mwh_2022,electricity_mwh_2021,electricity_mwh_2020,district_heating_mwh_2022,district_heating_mwh_2021,district_heating_mwh_2020,gas_mwh_2022,gas_mwh_2021,gas_mwh_2020
11100205,Wartenberg Süd,8037.976,7655.234,7503.441,13362.528,15465.259,14668.512999999999,0.0,0.0,0.0
11100206,Wartenberg Nord,8393.057,8673.601,9300.028,13606.566,15306.082,13926.131,0.0,0.0,0.0
11100307,Zingster Straße Ost,19598.015,19419.098,22108.251,38331.695,43867.013,39833.242,0.0,0.0,0.0
11100308,Zingster Straße West,11796.702000000001,11417.574,11505.044,27347.98,30993.061999999998,28462.872,595.965,821.3340000000001,797.972
11100309,Mühlengrund,7402.846,6360.134,5902.1759999999995,15131.458999999999,16734.509,14169.239,161.741,199.512,169.245
11200410,Malchower Weg,17161.417999999998,17771.891,17412.771,10478.530999999999,11592.989,10833.885,34966.77,41250.52,35829.458
11200411,Hauptstraße,26690.21,26987.64,28165.027,32322.647,36133.608,32467.284,8273.108,11899.041,10239.057
11200512,Orankesee,15482.380000000001,15556.854,7735.853,862.805,1163.977,1054.068,16759.915,19821.053,18140.256
11200513,Große-Leege-Straße,12883.899,12909.352,12929.706,17436.436999999998,19951.587,17854.054,16692.107,20310.097,18943.572
11200514,Landsberger Allee,23669.973,22792.77,23334.893,51363.411,56596.901,50803.86,376.044,432.595,395.091
11200515,Weiße Taube,6708.229,6383.859,6401.735000000001,5938.839,6787.7119999999995,10224.387999999999,9634.992,13305.857,13421.39
11300616,Hohenschönhauser Straße,7484.871,7722.313,7516.002,17217.133,20070.848,17975.798,373.436,1672.401,389.772
11300617,Fennpfuhlpark,9856.499,9441.867,9638.527999999998,18453.787000000004,20713.424,18807.900999999998,0.0,0.0,0.0
11300618,Storkower Bogen,5889.077,5965.901,6035.54,16309.414,18748.423,16661.107,343.861,389.068,372.909
11300619,Rudolf-Seiffert-Park,9730.964,10166.783000000001,9978.831999999999,29231.546000000002,32995.978,29884.839,0.0,0.0,0.0
11300620,Fennpfuhl Ost,14572.078,14965.381,14807.828,35834.582,40851.934,36363.956,1044.418,891.844,1112.3
11300721,Herzbergstraße,43909.570999999996,38665.064,40861.911,33885.417,35997.574,31076.729,24209.532,32262.132,27937.662
11300722,Rathaus Lichtenberg,14601.0,14120.885,13214.921,25587.976,29609.305,25758.745,12894.969000000001,16676.242,14768.903
11300723,Bornitzstraße,9691.98,8745.901,9094.422,7744.954,8411.807,7326.090999999999,1169.665,2400.3849999999998,2190.731
11300724,Roedeliusplatz,7985.54,8328.746,8191.628,17249.613,18868.958,15066.247,6032.359,7324.706,6299.248
11300725,Nibelungenviertel,17622.023,17717.172,17449.121000000003,19895.158,23076.985999999997,19864.288,16132.129,22229.654,20374.057
11300826,Frankfurter Allee Süd,20658.726,22076.701999999997,23440.261,41263.39,46896.608,40946.04,1964.2,2453.2650000000003,2156.102
