,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
02,Friedrichshain-Kreuzberg,02200208,Rathaus Yorckstraße, 3 455 , 98.7 , -   , 298 , 8.5 , -   , 3 455 , 98.7 , -   , 298 , 8.5 , -   
02,Friedrichshain-Kreuzberg,02200209,Viktoriapark, 7 035 , 99.3 , -   , 809 , 11.4 , -   , 7 035 , 99.3 , -   , 809 , 11.4 , -   
02,Friedrichshain-Kreuzberg,02200210,Urbanstraße, 7 741 , 100.0 , -   , 7 679 , 99.2 , -   , 7 741 , 100.0 , -   , 7 679 , 99.2 , -   
02,Friedrichshain-Kreuzberg,02200211,Chamissokiez, 9 372 , 99.0 , -   , 1 366 , 14.4 , -   , 9 372 , 99.0 , -   , 1 366 , 14.4 , -   
02,Friedrichshain-Kreuzberg,02200212,Graefekiez Süd, 4 970 , 100.0 , -   , 4 969 , 100.0 , -   , 4 970 , 100.0 , -   , 4 969 , 100.0 , -   
02,Friedrichshain-Kreuzberg,02200213,Graefekiez Nord, 6 576 , 100.0 , -   , 6 576 , 100.0 , -   , 6 576 , 100.0 , -   , 6 576 , 100.0 , -   
02,Friedrichshain-Kreuzberg,02300314,Oranienplatz, 4 601 , 95.0 , -   , 880 , 18.2 , -   , 4 601 , 95.0 , -   , 880 , 18.2 , -   
02,Friedrichshain-Kreuzberg,02300315,Lausitzer Platz, 4 966 , 97.8 , -   , 1 290 , 25.4 , -   , 4 966 , 97.8 , -   , 1 290 , 25.4 , -   
02,Friedrichshain-Kreuzberg,02300316,Köpenicker Straße, 2 911 , 98.5 , -   , 878 , 29.7 , -   , 2 911 , 98.5 , -   , 878 , 29.7 , -   
02,Friedrichshain-Kreuzberg,02300417,Reichenberger Straße West, 4 976 , 99.3 , -   , 556 , 11.1 , -   , 4 976 , 99.3 , -   , 556 , 11.1 , -   
02,Friedrichshain-Kreuzberg,02300418,Reichenberger Straße Ost, 4 989 , 97.5 , -   , 1 148 , 22.4 , -   , 4 989 , 97.5 , -   , 1 148 , 22.4 , -   
02,Friedrichshain-Kreuzberg,02300419,Wrangelkiez, 6 742 , 99.0 , -   , 2 485 , 36.5 , -   , 6 742 , 99.0 , -   , 2 892 , 42.5 , 6.0 
02,Friedrichshain-Kreuzberg,02400520,Barnimkiez, 3 237 , 96.4 , -   , 1 816 , 54.1 , -   , 3 239 , 96.5 , 0.1 , 1 870 , 55.7 , 1.6 
02,Friedrichshain-Kreuzberg,02400521,Friedenstraße, 4 787 , 98.8 , -   , 2 633 , 54.3 , -   , 4 839 , 99.9 , 1.1 , 4 839 , 99.9 , 45.6 
02,Friedrichshain-Kreuzberg,02400522,Richard-Sorge-Viertel, 6 703 , 99.8 , -   , 1 534 , 22.8 , -   , 6 703 , 99.8 , -   , 1 534 , 22.8 , -   
02,Friedrichshain-Kreuzberg,02400623,Andreasviertel, 7 366 , 96.7 , -   , 4 596 , 60.3 , -   , 7 366 , 96.7 , -   , 4 831 , 63.4 , 3.1 
02,Friedrichshain-Kreuzberg,02400624,Weberwiese, 6 539 , 95.3 , -   , 2 437 , 35.5 , -   , 6 539 , 95.3 , -   , 2 437 , 35.5 , -   
