PLR_ID,PLR_NAME,wohmi_fl,nat_pers,genossen,jur_pers,sozvermiet,stwbg,jp_ohn_swg
07601341,Diedersdorfer Weg,489766.0,21.0,0.0,6.0,76.14,4.14,1.86
07601442,Kettinger Straße,1587558.0,88.0,2.72,8.0,7.88,2.16,3.12
07601443,Töpchiner Weg,1493073.0,87.0,1.56,13.0,5.98,4.42,7.02
07601544,John-Locke-Straße,686020.0,62.0,2.04,34.0,26.84,23.8,8.16
07601545,Nahariyastraße,621151.0,55.0,9.89,43.0,23.07,11.18,21.93
07601546,Franziusweg,1192503.0,95.0,0.56,4.0,2.92,0.36,3.08
07601547,Horstwalder Straße,561413.0,78.0,2.94,21.0,6.72,3.78,14.28
07601548,Wittelsbacherstraße,633857.0,97.0,0.0,3.0,0.0,0.0,3.0
08100101,Hasenheide,96180.0,49.0,0.0,50.0,13.5,12.5,37.5
08100102,Schillerpromenade Nord,144359.0,72.0,0.56,28.0,3.08,2.52,24.92
08100103,Schillerpromenade Süd,124356.0,64.0,5.95,35.0,19.6,13.65,15.4
08100104,Wartheplatz,107465.0,50.0,0.0,48.0,19.76,17.76,30.24
08100105,Silbersteinstraße,164344.0,48.0,3.76,47.0,8.23,0.47,42.77
08100206,Flughafenstraße,169068.0,60.0,6.8,40.0,16.4,9.6,23.6
08100207,Rollberg,185564.0,22.0,0.0,78.0,64.74,64.74,13.26
08100208,Körnerpark,207368.0,60.0,5.07,39.0,9.58,3.51,30.42
08100209,Glasower Straße,191568.0,61.0,8.74,38.0,13.16,3.42,25.84
08100310,Maybachufer,136958.0,73.0,0.81,27.0,1.62,0.81,25.38
08100311,Reuterplatz,144788.0,75.0,0.0,25.0,6.75,6.75,18.25
08100312,Weichselplatz,232617.0,52.0,9.2,46.0,16.72,5.52,31.28
08100313,Bouchéstraße,92907.0,39.0,45.75,61.0,46.36,0.61,14.64
08100314,Donaustraße,140260.0,65.0,3.4,34.0,7.46,3.06,27.54
08100415,Ganghoferstraße,123992.0,57.0,9.02,41.0,18.4,7.38,24.6
08100416,Alt-Rixdorf,181742.0,68.0,0.0,29.0,14.89,11.89,17.11
08100417,Braunschweiger Straße,161785.0,59.0,3.51,39.0,7.8,4.29,31.2
08100418,Hertzbergplatz,196523.0,43.0,24.64,56.0,26.88,2.24,29.12
08100419,Treptower Straße Nord,165811.0,48.0,17.48,46.0,26.32,1.84,26.68
08100520,Weiße Siedlung,176030.0,69.0,0.0,29.0,2.0,0.0,29.0
08100521,Schulenburgpark,307041.0,8.0,16.56,92.0,88.32,71.76,3.68
08200622,Jahnstraße,172386.0,46.0,4.16,52.0,12.36,5.2,42.64
08200623,Park am Buschkrug,266241.0,42.0,27.54,54.0,36.4,4.86,21.6
08200624,Tempelhofer Weg,330696.0,37.0,3.78,63.0,35.28,31.5,27.72
08200725,Mohriner Allee Nord,366044.0,97.0,0.0,2.0,1.4,0.4,1.6
08200726,Hufeisensiedlung,449823.0,64.0,0.0,36.0,16.56,16.56,19.44
08200727,Parchimer Allee Süd,591479.0,16.0,0.0,82.0,5.1,4.1,77.9
08200728,Ortolanweg,48437.0,3.0,20.93,91.0,26.93,0.0,70.07
08200729,Britzer Garten,313642.0,73.0,0.0,5.0,21.0,0.0,5.0
08200730,Handwerker-Siedlung,765746.0,16.0,0.4,8.0,77.88,2.48,5.12
08200831,Buckow West,1076952.0,76.0,0.0,14.0,16.3,6.3,7.7
08200832,Buckow Mitte,1156211.0,61.0,5.25,35.0,22.55,13.3,16.45
08200833,Buckow Ost,794907.0,71.0,1.96,28.0,17.52,14.56,11.48
08300934,Gropiusstadt Nord-West,525381.0,48.0,0.0,52.0,0.0,0.0,52.0
08300935,Gropiusstadt Süd-West,309786.0,53.0,5.17,47.0,5.17,0.0,41.83
08301036,Gropiusstadt Mitte,241772.0,26.0,21.7,70.0,51.3,26.6,21.7
08301037,Gropiusstadt Süd-Ost,302505.0,2.0,12.74,98.0,98.0,85.26,0.0
08401138,Goldhähnchenweg,94724.0,15.0,48.97,83.0,81.34,32.37,1.66
08401139,Vogelviertel Süd,437145.0,81.0,10.83,19.0,13.3,2.47,5.7
08401140,Vogelviertel Nord,345702.0,86.0,7.8,13.0,9.75,1.95,3.25
