PLR_ID,PLR_NAME,school_count,school_names,privat,öffentlich,Typ: Andere Schule,Typ: Berufsschule,Typ: Grundschule,Typ: Gymnasium,Typ: Integrierte Sekundarschule,Typ: Privatschule,Typ: Schule mit sonderpädagogischem Förderschwerpunkt,Art: Berufsfachschule,Art: Berufsschule,Art: Berufsschule mit sonderpäd. Aufgaben,Art: Fachschule,Art: Freie Waldorfschule,"Art: Förderschwerp. ""Geistige Entwicklung""","Art: Förderschwerp. ""Lernen""","Art: Förderschwerp. ""Lernen""u.""Geistige Entwickl.""",Art: Förderschwerp. einschl. beruflichem Teil,Art: Gemeinschaftsschule,Art: Grundschule,Art: Gymnasium,Art: Integrierte Sekundarschule,Art: Kombinierte allg./berufl. Schule,Art: Kombinierte allgemein bildende Schule,Art: Kombinierte berufliche Schule,Art: Oberstufenzentrum,Art: Übrige Förderschwerpunkte
01300836,Humboldthain Nordwest,4.0,"['Grundschule am Nordhafen', 'Herbert-Hoover-Schule (Integrierte Sekundarschule)', 'Schule am Zille-Park', 'Diesterweg-Gymnasium']",0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
01400937,Afrikanische Straße,1.0,['Möwensee-Grundschule'],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01400938,Kameruner Straße,2.0,"['Anna-Lindh-Schule (Grundschule)', 'Schule in der Charité']",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01400939,Glasgower Straße,2.0,"['Schule am Schillerpark (Integrierte Sekundarschule)', 'Lessing-Gymnasium']",0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
01400940,Schillerpark,3.0,"['OSZ Gesundheit I', 'Gottfried-Röhl-Grundschule', 'Carl-Legien-Schule (Schulbetrieb an 01B04)']",0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
01400941,Londoner Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01400942,Westliche Müllerstraße,1.0,['Ernst-Schering-Schule'],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
01401043,Antonstraße,1.0,['Wedding-Grundschule'],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01401044,Uferstraße,2.0,"['Albert-Gutzmann-Schule (Grundschule)', 'Albert-Gutzmann-Schule']",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01401045,Schwedenstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01401046,Nordufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01401047,Sparrplatz,3.0,"['Brüder-Grimm-Grundschule', 'Leo-Lionni-Grundschule', 'Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft']",1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01401048,Leopoldplatz,2.0,"['Erika-Mann-Grundschule', 'meco Akademie GmbH']",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
01401049,Schulstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02100101,Askanischer Platz,4.0,"['Fanny-Hensel-Grundschule', 'Clara-Grunwald-Grundschule', 'Sozialpädagogisches Institut Berlin „Walter May“ - Stiftung SPI', 'procon College']",2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
02100102,Mehringplatz,6.0,"['Modeschule Berlin (OSZ Bekleidung und Mode)', 'Kurt-Schumacher-Grundschule', 'Galilei-Grundschule', 'Campus Berufsbildung e.V.', 'FORUM Berufsbildung e.V.', 'Liebmann-Schule']",2.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
02100103,Am Berlin Museum,2.0,"['Freie Waldorfschule Kreuzberg', 'VIA Bildungszentrum für Pflegeberufe']",2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02100104,Moritzplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02100105,Prinzenstraße,2.0,"['Hans-Böckler-Schule (OSZ Konstruktionsbautechnik)', 'Otto-Wels-Grundschule']",0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02100106,Wassertorplatz,2.0,"['Jens-Nydahl-Grundschule', 'Gustav-Meyer-Schule']",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02200207,Gleisdreieck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02200208,Rathaus Yorckstraße,1.0,['Hector-Peterson-Schule'],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
02200209,Viktoriapark,3.0,"['Charlotte-Salomon-Grundschule', 'Adolf-Glaßbrenner-Grundschule', 'Kenntnisreich gGmbH']",1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02200210,Urbanstraße,4.0,"['Bürgermeister-Herz-Grundschule', 'Reinhardswald-Grundschule', 'Aziz-Nesin-Grundschule', 'Carl-von-Ossietzky-Gemeinschaftsschule']",0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
