Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
04200205,Flatowallee,1,1,1,3,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04200206,Kranzallee,0,1,1,2,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04200207,Eichkamp,1,1,1,3,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04200308,Branitzer Platz,0,1,2,2,2,1,2,04 - Charlottenburg-Wilmersdorf,1
04200309,Neu Westend,1,2,2,3,2,1,2,04 - Charlottenburg-Wilmersdorf,1
04200310,Fürstenplatz,1,1,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04200311,Königin-Elisabeth-Straße,4,1,3,3,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04300412,Schlossgarten,1,1,2,3,2,1,2,04 - Charlottenburg-Wilmersdorf,1
04300413,Klausenerplatz,1,3,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04300414,Schloßstraße,2,2,3,2,3,2,2,04 - Charlottenburg-Wilmersdorf,1
04300415,Lietzensee,1,1,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04300416,Amtsgerichtsplatz,3,3,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04300517,Tegeler Weg,1,2,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04300518,Kaiserin-Augusta-Allee,1,1,2,2,3,2,2,04 - Charlottenburg-Wilmersdorf,1
04300619,Alt-Lietzow,2,2,3,1,3,2,2,04 - Charlottenburg-Wilmersdorf,1
04300620,Spreestadt,1,1,2,2,3,2,2,04 - Charlottenburg-Wilmersdorf,1
04300621,Richard-Wagner-Straße,3,2,3,1,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04300622,Ernst-Reuter-Platz,2,1,3,2,3,2,2,04 - Charlottenburg-Wilmersdorf,1
04300623,Karl-August-Platz,3,3,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04300624,Savignyplatz,3,2,3,2,3,3,2,04 - Charlottenburg-Wilmersdorf,1
04400725,Güterbahnhof Grunewald,2,1,1,3,1,3,0,04 - Charlottenburg-Wilmersdorf,1
04400726,Bismarckallee,1,1,2,3,1,1,2,04 - Charlottenburg-Wilmersdorf,1
04400727,Flinsberger Platz,1,1,3,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04400728,Hagenplatz,0,1,2,2,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04400729,Hundekehle,0,1,1,2,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04400830,Forckenbeckstraße,0,1,2,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
04400831,Messelpark,0,1,2,2,1,1,1,04 - Charlottenburg-Wilmersdorf,1
04400832,Breite Straße,1,2,2,1,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04400833,Schlangenbader Straße,2,2,3,2,2,3,2,04 - Charlottenburg-Wilmersdorf,1
04400834,Binger Straße,0,1,2,2,2,2,2,04 - Charlottenburg-Wilmersdorf,1
