gisid,kategorie,bez_name,bez_id,pgr_name,pgr_id,bzr_name,bzr_id,plr_name,plr_id
"02500835",2 - Mittel,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Stralauer Kiez,"02500835"
"02500836",1 - Niedrig,Friedrichshain/Kreuzberg,"02",Friedrichshain Ost,"0250",Frankf. Allee Süd FK,"025008",Stralauer Halbinsel,"02500836"
"03100101",2 - Mittel,Pankow,"03",Buch,"0310",Buch,"031001",Bucher Forst,"03100101"
"03100102",2 - Mittel,Pankow,"03",Buch,"0310",Buch,"031001",Klinikum Buch,"03100102"
"03100103",3 - Erhöht,Pankow,"03",Buch,"0310",Buch,"031001",Karower Chaussee,"03100103"
"03200204",2 - Mittel,Pankow,"03",Nördliches Pankow,"0320",Blankenfelde/Niederschönhausen,"032002",Blankenfelde,"03200204"
"03200205",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Blankenfelde/Niederschönhausen,"032002",Uhlandstraße,"03200205"
"03200206",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Blankenfelde/Niederschönhausen,"032002",Pastor-Niemöller-Platz,"03200206"
"03200207",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Blankenfelde/Niederschönhausen,"032002",Herthaplatz,"03200207"
"03200308",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Buchholz,"032003",Nisbléstraße,"03200308"
"03200309",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Buchholz,"032003",Eddastraße,"03200309"
"03200310",1 - Niedrig,Pankow,"03",Nördliches Pankow,"0320",Buchholz,"032003",Krugpfuhl,"03200310"
"03300411",2 - Mittel,Pankow,"03",Nördliches Weißensee,"0330",Karow,"033004",Karow Nord,"03300411"
"03300412",1 - Niedrig,Pankow,"03",Nördliches Weißensee,"0330",Karow,"033004",Karow Bahnhof,"03300412"
"03300413",1 - Niedrig,Pankow,"03",Nördliches Weißensee,"0330",Karow,"033004",Karow Ost,"03300413"
"03300514",1 - Niedrig,Pankow,"03",Nördliches Weißensee,"0330",Blankenburg/Heinersdorf/Märchenland,"033005",Blankenburg,"03300514"
"03300515",0 - Weitgehend unbewohnte Fläche,Pankow,"03",Nördliches Weißensee,"0330",Blankenburg/Heinersdorf/Märchenland,"033005",Blankenburger Süden,"03300515"
"03300516",2 - Mittel,Pankow,"03",Nördliches Weißensee,"0330",Blankenburg/Heinersdorf/Märchenland,"033005",Heinersdorf,"03300516"
"03300517",2 - Mittel,Pankow,"03",Nördliches Weißensee,"0330",Blankenburg/Heinersdorf/Märchenland,"033005",Märchenland,"03300517"
"03400618",1 - Niedrig,Pankow,"03",Südliches Pankow,"0340",Schönholz/Wilhelmsruh/Rosenthal,"034006",Rosenthal,"03400618"
